OrderID,ProductLineName,OrderNumber,CustomerID,CustomerAccountID,OrderDate,OrderStatus,SubTotal,TaxAmount,OrderTotal,PaymentMethod,IsoCurrencyCode,CreatedBy
08b0dc18-c9c1-41da-9709-f99c119d0806,Camping,F100000,CID-001,CA-0001,2025-01-28,Completed,544.96,47.69,592.65,PayPal,USD,SampleGen
92d9b5c3-b16f-4782-a240-8de12d675ec4,Camping,F100001,CID-001,CA-0001,2025-02-19,Pending,539.97,47.25,587.22,Discover,USD,SampleGen
5fd4bac1-85b6-49c2-b583-0132d315e451,Camping,F100002,CID-001,CA-0001,2025-03-27,Completed,549.94,48.11,598.05,VISA,USD,SampleGen
21628514-7154-483b-84be-3b1e80aeb674,Camping,F100003,CID-001,CA-0001,2025-04-15,Completed,1489.89,130.36,1620.25,AmEx,USD,SampleGen
a526eba5-15df-4a47-8a5d-011b65928307,Camping,F100004,CID-001,CA-0001,2025-05-12,Shipped,239.97,21.0,260.97,VISA,USD,SampleGen
f52ef6de-fb6d-4115-a832-1022ceb26f76,Camping,F100005,CID-001,CA-0001,2025-06-23,Completed,989.97,86.62,1076.59,VISA,USD,SampleGen
34244830-1924-4037-a692-d3e2247198c7,Camping,F100006,CID-001,CA-0001,2025-07-12,Cancelled,2159.91,188.99,2348.9,MC,USD,SampleGen
d0b6dc7b-b981-4e5e-b40c-89984d9a5e0f,Camping,F100007,CID-001,CA-0001,2025-08-23,Completed,639.95,55.99,695.94,MC,USD,SampleGen
0af31410-e773-492d-bad1-c4d139f033fa,Camping,F100008,CID-001,CA-0001,2025-09-04,Completed,1189.93,104.11,1294.04,PayPal,USD,SampleGen
5fe7fb89-e077-4e42-914e-26d5270406dd,Camping,F100009,CID-001,CA-0001,2025-10-08,Completed,1189.93,104.12,1294.05,VISA,USD,SampleGen
7b3a7b5b-26e8-4c61-9fea-27f52723f75a,Camping,F100010,CID-001,CA-0001,2025-11-26,Cancelled,264.98,23.18,288.16,VISA,USD,SampleGen
ee3aadfe-57b4-4fff-ad7f-aeb6ede2e1bd,Camping,F100011,CID-001,CA-0001,2025-12-22,Completed,1799.94,157.49,1957.43,MC,USD,SampleGen
4ce48ef9-cb28-4cfb-ba8b-e264ba04812b,Camping,F100012,CID-001,CA-0001,2026-01-23,Completed,939.92,82.24,1022.16,PayPal,USD,SampleGen
ec9d4ee9-ea02-41fc-88a3-bea4a2627415,Camping,F100013,CID-001,CA-0001,2026-02-12,Completed,1119.97,98.0,1217.97,VISA,USD,SampleGen
32b127d0-586c-40a3-9a78-3c14708416f3,Camping,F100014,CID-001,CA-0001,2026-03-16,Completed,989.97,86.62,1076.59,PayPal,USD,SampleGen
11ceac9f-6484-4747-8a4d-bd0657b0b303,Camping,F100015,CID-001,CA-0001,2026-04-10,Pending,2369.91,207.36,2577.27,Discover,USD,SampleGen
dddcdd5d-526c-4b8b-baf2-a4167123ab97,Camping,F100016,CID-001,CA-0001,2026-04-27,Completed,449.97,39.37,489.34,VISA,USD,SampleGen
adbda5e6-82ef-44c1-9fca-375371549efe,Camping,F100017,CID-002,CA-0003,2025-01-07,Completed,1259.94,110.24,1370.18,VISA,USD,SampleGen
efc33b91-1856-4961-9321-a7fe958b6813,Camping,F100018,CID-002,CA-0003,2025-02-22,Completed,1509.92,132.12,1642.04,VISA,USD,SampleGen
c677537f-dd6c-4997-8ffa-48de69b565fa,Camping,F100019,CID-002,CA-0003,2025-03-05,Pending,739.95,64.75,804.7,MC,USD,SampleGen
72e82859-3cae-4c09-97c6-09425e3345d9,Camping,F100020,CID-002,CA-0003,2025-04-08,Completed,1469.9,128.62,1598.52,MC,USD,SampleGen
bfe942f5-4b9f-4001-b0c3-18677c7e214e,Camping,F100021,CID-002,CA-0003,2025-05-16,Completed,659.97,57.75,717.72,PayPal,USD,SampleGen
42f63f2b-67b0-45a9-b4e7-f33438520569,Camping,F100022,CID-002,CA-0003,2025-06-25,Completed,239.97,21.0,260.97,VISA,USD,SampleGen
f2ba5b67-2e47-45aa-bf27-c662fe7bcd78,Camping,F100023,CID-002,CA-0003,2025-07-03,Completed,619.96,54.24,674.2,VISA,USD,SampleGen
e52d9c96-dc97-482a-a33d-d7bfd78a221e,Camping,F100024,CID-002,CA-0003,2025-08-10,Completed,159.98,14.0,173.98,VISA,USD,SampleGen
2a6882ea-c5ad-485b-a7cd-4ad5d83ea60a,Camping,F100025,CID-002,CA-0003,2025-09-20,Completed,439.98,38.5,478.48,VISA,USD,SampleGen
9ebaebc3-945f-4354-92a3-8f6a3a706ec5,Camping,F100026,CID-002,CA-0003,2025-10-07,Completed,514.97,45.06,560.03,VISA,USD,SampleGen
5fcc233e-d9fa-41a8-8996-bdefd281a141,Camping,F100027,CID-002,CA-0003,2025-11-27,Pending,1079.95,94.5,1174.45,AmEx,USD,SampleGen
96df9cc8-09ca-4df5-9151-85e9155ac35d,Camping,F100028,CID-002,CA-0003,2025-12-12,Completed,169.99,14.87,184.86,VISA,USD,SampleGen
664a25ba-2c17-45fa-ad0b-5d08ffcd315e,Camping,F100029,CID-002,CA-0003,2026-01-23,Completed,899.94,78.75,978.69,VISA,USD,SampleGen
09d6461a-09db-47b8-b2f7-48aeaa7f5de0,Camping,F100030,CID-002,CA-0003,2026-02-22,Completed,784.95,68.68,853.63,VISA,USD,SampleGen
22c4291c-96ef-4f44-9b05-80562b63ac28,Camping,F100031,CID-002,CA-0003,2026-03-02,Completed,659.96,57.75,717.71,VISA,USD,SampleGen
50975239-2240-466d-a4cf-670229034e3f,Camping,F100032,CID-002,CA-0003,2026-04-01,Completed,689.96,60.37,750.33,MC,USD,SampleGen
682a1949-5868-496c-b9d4-3035629b7540,Camping,F100033,CID-003,CA-0005,2025-01-06,Completed,1629.95,142.61,1772.56,VISA,USD,SampleGen
6661b7dc-a6fb-4644-b1be-7a829dc4e119,Camping,F100034,CID-003,CA-0005,2025-02-05,Completed,1069.93,93.61,1163.54,MC,USD,SampleGen
f986a6d0-6029-45e9-81df-cbc476067ade,Camping,F100035,CID-003,CA-0005,2025-03-05,Completed,989.97,86.62,1076.59,AmEx,USD,SampleGen
843436d4-56f5-44cd-86a0-0b3bb759070b,Camping,F100036,CID-003,CA-0005,2025-04-30,Completed,1939.91,169.75,2109.66,MC,USD,SampleGen
107ace3b-119c-4ef5-8733-cd892ece3941,Camping,F100037,CID-003,CA-0005,2025-05-12,Pending,269.97,23.62,293.59,MC,USD,SampleGen
da0ffde1-322f-41dd-a1cf-5a7e599a526f,Camping,F100038,CID-003,CA-0005,2025-06-18,Completed,914.92,80.05,994.97,Discover,USD,SampleGen
4e9d7b4a-3d97-49a3-9843-3a923a88c9ef,Camping,F100039,CID-003,CA-0005,2025-07-29,Completed,529.97,46.37,576.34,Discover,USD,SampleGen
ce61a06b-24d0-419a-b046-2f891a76cd73,Camping,F100040,CID-003,CA-0005,2025-08-29,Completed,664.93,58.17,723.1,VISA,USD,SampleGen
e45c0085-df40-493f-9364-668aa18a5c3e,Camping,F100041,CID-003,CA-0005,2025-09-08,Completed,1279.92,111.99,1391.91,MC,USD,SampleGen
63421e6c-5a53-44f1-a4e1-28c6824ce4a5,Camping,F100042,CID-003,CA-0005,2025-10-14,Pending,1349.92,118.12,1468.04,AmEx,USD,SampleGen
aa860240-8583-4e49-bfe0-1fecbee46f80,Camping,F100043,CID-003,CA-0005,2025-11-15,Completed,579.96,50.74,630.7,Discover,USD,SampleGen
dcbb97d9-ea35-415f-b827-770a499a278f,Camping,F100044,CID-003,CA-0005,2025-12-11,Pending,469.97,41.12,511.09,VISA,USD,SampleGen
1cd10b59-97ef-427f-8008-4de677af568b,Camping,F100045,CID-003,CA-0005,2026-01-08,Completed,254.97,22.31,277.28,MC,USD,SampleGen
7214b385-5670-460c-8e96-d0a7740b0075,Camping,F100046,CID-003,CA-0005,2026-02-09,Completed,469.97,41.12,511.09,AmEx,USD,SampleGen
ff4dff2a-6b91-4d2b-95ba-dcaf0e304b93,Camping,F100047,CID-003,CA-0005,2026-03-26,Shipped,1349.94,118.12,1468.06,PayPal,USD,SampleGen
37c8a67a-6323-4c21-87d3-c9a543bbf617,Camping,F100048,CID-003,CA-0005,2026-04-18,Completed,479.96,42.0,521.96,VISA,USD,SampleGen
bdd9e9e8-9994-474b-a5ce-78354922258a,Camping,F100049,CID-004,CA-0007,2025-01-31,Completed,529.98,46.37,576.35,VISA,USD,SampleGen
8f475dca-61be-47cb-a594-6732eb759b50,Camping,F100050,CID-004,CA-0007,2025-02-01,Completed,629.97,55.12,685.09,VISA,USD,SampleGen
6eb58b13-766a-4c31-9001-fa5e64fc15e9,Camping,F100051,CID-004,CA-0007,2025-03-18,Completed,1529.95,133.87,1663.82,MC,USD,SampleGen
320d263c-213f-41b7-b06b-8b87088f9df3,Camping,F100052,CID-004,CA-0007,2025-04-24,Completed,519.96,45.5,565.46,MC,USD,SampleGen
d1ec9f93-f3cc-4ff1-8360-4bb0204acd57,Camping,F100053,CID-004,CA-0007,2025-05-18,Completed,179.99,15.75,195.74,MC,USD,SampleGen
12443097-75c4-47db-a937-209cfade1475,Camping,F100054,CID-004,CA-0007,2025-06-11,Completed,299.98,26.25,326.23,Discover,USD,SampleGen
e741d773-a2bc-482b-b256-b3682a2dc307,Camping,F100055,CID-004,CA-0007,2025-07-07,Completed,299.98,26.25,326.23,VISA,USD,SampleGen
60366872-cd24-487e-ad9f-51c2a86e8f49,Camping,F100056,CID-004,CA-0007,2025-08-27,Shipped,479.97,41.99,521.96,VISA,USD,SampleGen
