ProductSupplierID,ProductID,ProductName,ProductCategory,SupplierID,SupplierName,SupplierProductCode,WholesaleCost,MinOrderQuantity,MaxOrderQuantity,LeadTimeDays,Status,CreatedBy,CreatedDate
1,1521,Adventurer Pro Backpack,Camping,1,Contoso Camping Equipment,CON-1521,119.33,1,1000.0,15,Active,system,2025-10-26 12:01:56
2,1531,Summit Breeze Jacket,Camping,1,Contoso Camping Equipment,CON-1531,115.69,5,,17,Active,system,2025-12-12 12:01:56
3,1541,TrekReady Hiking Boots,Camping,1,Contoso Camping Equipment,CON-1541,121.23,1,1000.0,17,Active,system,2025-11-17 12:01:56
4,1551,BaseCamp Folding Table,Camping,1,Contoso Camping Equipment,CON-1551,59.4,5,,11,Active,system,2025-11-04 12:01:56
5,1561,EcoFire Camping Stove,Camping,1,Contoso Camping Equipment,CON-1561,99.99,1,5000.0,12,Active,system,2026-01-04 12:01:56
6,1571,CozyNights Sleeping Bag,Camping,1,Contoso Camping Equipment,CON-1571,117.31,1,1000.0,13,Active,system,2026-01-19 12:01:56
7,1511,Alpine Explorer Tent,Camping,1,Contoso Camping Equipment,CON-1511,273.5,25,10000.0,14,Active,system,2025-12-26 12:01:56
8,1522,SummitClimber Backpack,Camping,1,Contoso Camping Equipment,CON-1522,151.77,50,,14,Active,system,2026-01-22 12:01:56
9,1532,TrailBlaze Hiking Pants,Camping,1,Contoso Camping Equipment,CON-1532,60.72,10,5000.0,16,Active,system,2025-11-21 12:01:56
10,1542,TrailWalker Hiking Shoes,Camping,1,Contoso Camping Equipment,CON-1542,103.06,10,10000.0,11,Active,system,2025-10-27 12:01:56
11,1552,TrekMaster Camping Chair,Camping,1,Contoso Camping Equipment,CON-1552,59.22,5,10000.0,15,Active,system,2025-10-30 12:01:56
12,1562,PowerBurner Camping Stove,Camping,1,Contoso Camping Equipment,CON-1562,132.7,5,5000.0,11,Active,system,2025-10-23 12:01:56
13,1572,MountainDream Sleeping Bag,Camping,1,Contoso Camping Equipment,CON-1572,209.3,10,10000.0,13,Active,system,2025-12-26 12:01:56
14,1512,SkyView 2-Person Tent,Camping,1,Contoso Camping Equipment,CON-1512,239.93,5,,11,Active,system,2025-10-10 12:01:56
15,1523,TrailLite Daypack,Camping,1,Contoso Camping Equipment,CON-1523,49.28,1,,14,Active,system,2025-12-26 12:01:56
16,1533,RainGuard Hiking Jacket,Camping,1,Contoso Camping Equipment,CON-1533,120.56,1,,13,Active,system,2025-12-17 12:01:56
17,1543,TrekStar Hiking Sandals,Camping,1,Contoso Camping Equipment,CON-1543,56.38,25,1000.0,16,Active,system,2026-01-22 12:01:56
18,1553,Adventure Dining Table,Camping,1,Contoso Camping Equipment,CON-1553,105.83,50,,14,Active,system,2026-01-29 12:01:56
19,1563,CompactCook Camping Stove,Camping,1,Contoso Camping Equipment,CON-1563,73.17,50,1000.0,11,Active,system,2026-02-07 12:01:56
20,1581,LED Headlamp - Rechargeable,Camping,1,Contoso Camping Equipment,CON-1581,51.5,50,,11,Active,system,2025-10-14 12:01:56
21,2011,Coffee Maker,Kitchen,2,Contoso Kitchen,CON-2011,132.61,10,,11,Active,system,2025-10-09 12:01:56
22,2012,Espresso Machine,Kitchen,2,Contoso Kitchen,CON-2012,288.68,50,5000.0,8,Active,system,2025-10-27 12:01:56
23,2021,Chef Knife,Kitchen,2,Contoso Kitchen,CON-2021,66.11,10,1000.0,13,Active,system,2025-12-17 12:01:56
24,2022,Fork Set,Kitchen,2,Contoso Kitchen,CON-2022,29.42,5,10000.0,11,Active,system,2025-11-06 12:01:56
25,2031,Coffee Mug,Kitchen,2,Contoso Kitchen,CON-2031,22.68,5,5000.0,11,Active,system,2025-11-29 12:01:56
26,2041,Serving Platter,Kitchen,2,Contoso Kitchen,CON-2041,44.69,1,10000.0,13,Active,system,2025-09-18 12:01:56
27,2051,Ice Cream Bowl,Kitchen,2,Contoso Kitchen,CON-2051,18.47,10,,11,Active,system,2025-11-20 12:01:56
28,2061,Mixing Bowl,Kitchen,2,Contoso Kitchen,CON-2061,31.87,50,1000.0,13,Active,system,2025-11-08 12:01:56
29,2071,Baking Pan,Kitchen,2,Contoso Kitchen,CON-2071,19.87,50,,13,Active,system,2025-12-08 12:01:56
30,2081,Food Storage Set,Kitchen,2,Contoso Kitchen,CON-2081,25.71,50,,10,Active,system,2025-10-25 12:01:56
31,2091,Spatula,Kitchen,2,Contoso Kitchen,CON-2091,9.88,25,1000.0,7,Active,system,2025-11-02 12:01:56
32,2091,Spatula,Kitchen,4,Worldwide Importers,WOR-2091,10.93,10,2000.0,24,Active,system,2025-11-29 12:01:56
