EventID,DisruptionType,EventName,Description,Severity,Status,StartDate,EndDate,GeographicArea,IndustryImpact,PredictedDuration,ActualDuration,AlertLevel,ReportedBy,CreatedBy,CreatedDate
1,Supplier,Factory Maintenance - 1,Scheduled maintenance at key supplier facility,Medium,Monitoring,2025-12-29,,Regional,Manufacturing,21,,Orange,Supply Chain Monitor,system,2025-12-29 12:01:56
2,Economic,Raw Material Shortage - 2,Global shortage of key manufacturing materials,Critical,Active,2025-12-30,,Global,Manufacturing,15,,Red,Supply Chain Monitor,system,2025-12-30 12:01:56
3,Economic,Raw Material Shortage - 3,Global shortage of key manufacturing materials,Critical,Resolved,2025-12-12,2025-12-23,Global,Manufacturing,10,11.0,Yellow,Supply Chain Monitor,system,2025-12-12 12:01:56
4,Weather,Winter Storm Alpha - 4,Major winter storm affecting transportation networks,High,Active,2025-12-31,,Northwestern USA,Logistics,20,,Orange,Supply Chain Monitor,system,2025-12-31 12:01:56
5,Supplier,Factory Maintenance - 5,Scheduled maintenance at key supplier facility,Medium,Resolved,2026-01-09,2026-01-28,Regional,Manufacturing,17,19.0,Orange,Supply Chain Monitor,system,2026-01-09 12:01:56
6,Weather,Winter Storm Alpha - 6,Major winter storm affecting transportation networks,High,Resolved,2026-02-23,2026-02-27,Northwestern USA,Logistics,20,4.0,Orange,Supply Chain Monitor,system,2026-02-23 12:01:56
7,Economic,Raw Material Shortage - 7,Global shortage of key manufacturing materials,Critical,Resolved,2026-03-04,2026-03-27,Global,Manufacturing,12,23.0,Red,Supply Chain Monitor,system,2026-03-04 12:01:56
8,Economic,Raw Material Shortage - 8,Global shortage of key manufacturing materials,Critical,Resolved,2026-02-27,2026-03-23,Global,Manufacturing,17,24.0,Orange,Supply Chain Monitor,system,2026-02-27 12:01:56
9,Weather,Winter Storm Alpha - 9,Major winter storm affecting transportation networks,High,Resolved,2026-03-06,2026-03-16,Northwestern USA,Logistics,4,10.0,Yellow,Supply Chain Monitor,system,2026-03-06 12:01:56
10,Economic,Raw Material Shortage - 10,Global shortage of key manufacturing materials,Critical,Active,2026-02-25,,Global,Manufacturing,13,,Red,Supply Chain Monitor,system,2026-02-25 12:01:56
11,Economic,Raw Material Shortage - 11,Global shortage of key manufacturing materials,Critical,Active,2026-01-14,,Global,Manufacturing,7,,Yellow,Supply Chain Monitor,system,2026-01-14 12:01:56
12,Economic,Raw Material Shortage - 12,Global shortage of key manufacturing materials,Critical,Monitoring,2026-01-19,,Global,Manufacturing,20,,Red,Supply Chain Monitor,system,2026-01-19 12:01:56
13,Weather,Winter Storm Alpha - 13,Major winter storm affecting transportation networks,High,Resolved,2026-02-07,2026-02-27,Northwestern USA,Logistics,6,20.0,Yellow,Supply Chain Monitor,system,2026-02-07 12:01:56
14,Supplier,Factory Maintenance - 14,Scheduled maintenance at key supplier facility,Medium,Resolved,2026-02-14,2026-03-03,Regional,Manufacturing,4,17.0,Red,Supply Chain Monitor,system,2026-02-14 12:01:56
15,Economic,Raw Material Shortage - 15,Global shortage of key manufacturing materials,Critical,Resolved,2026-02-05,2026-03-03,Global,Manufacturing,10,26.0,Red,Supply Chain Monitor,system,2026-02-05 12:01:56
