InvoiceId,InvoiceNumber,CustomerId,OrderId,InvoiceDate,DueDate,SubTotal,TaxAmount,TotalAmount,InvoiceStatus,CreatedBy
INV-1451898f-8661-4e0c-bcf0-c13884772c40,IS300000,CID-001,1451898f-8661-4e0c-bcf0-c13884772c40,2025-04-20,2025-05-20,1679.96,147.0,1826.96,Paid,SampleGen
INV-0359f467-7e61-4a29-9935-5be3a70b45e4,IS300001,CID-001,0359f467-7e61-4a29-9935-5be3a70b45e4,2024-09-18,2024-10-18,1759.96,154.0,1913.96,Paid,SampleGen
INV-632e3107-1770-4c37-b3f3-d5ef995b10fc,IS300002,CID-001,632e3107-1770-4c37-b3f3-d5ef995b10fc,2023-09-17,2023-10-17,1759.96,153.99,1913.95,Paid,SampleGen
INV-20fd980e-ac93-4031-86ec-c123a726601c,IS300003,CID-002,20fd980e-ac93-4031-86ec-c123a726601c,2025-02-26,2025-03-28,3714.95,325.06,4040.01,Paid,SampleGen
INV-681f0eb2-4096-4520-a4e6-fffe0f813831,IS300004,CID-002,681f0eb2-4096-4520-a4e6-fffe0f813831,2024-06-24,2024-07-24,249.99,21.87,271.86,Paid,SampleGen
INV-7d87ac08-0af0-4775-a151-9e8d58058d51,IS300005,CID-003,7d87ac08-0af0-4775-a151-9e8d58058d51,2024-09-21,2024-10-21,2199.96,192.5,2392.46,Paid,SampleGen
INV-5667e171-7907-4533-81da-0d616f01e255,IS300006,CID-003,5667e171-7907-4533-81da-0d616f01e255,2025-09-12,2025-10-12,3749.95,328.12,4078.07,Paid,SampleGen
INV-4a25bdfe-2203-4119-8ef3-86bcc031dade,IS300007,CID-003,4a25bdfe-2203-4119-8ef3-86bcc031dade,2026-04-15,2026-05-15,1529.93,133.87,1663.8,Paid,SampleGen
INV-f3fc5c82-5d33-4ee4-ae48-a044eb93c09a,IS300008,CID-003,f3fc5c82-5d33-4ee4-ae48-a044eb93c09a,2025-12-22,2026-01-21,1779.96,155.75,1935.71,Paid,SampleGen
INV-16526e08-4756-4285-ba52-7b61e7899271,IS300009,CID-004,16526e08-4756-4285-ba52-7b61e7899271,2023-01-15,2023-02-14,4649.93,406.87,5056.8,Paid,SampleGen
INV-3cb5c245-02b0-4b90-885a-738d61ceb43a,IS300010,CID-005,3cb5c245-02b0-4b90-885a-738d61ceb43a,2025-06-18,2025-07-18,809.97,70.87,880.84,Paid,SampleGen
INV-74f7c2a0-1e28-4938-8d67-dcb85c73a658,IS300011,CID-005,74f7c2a0-1e28-4938-8d67-dcb85c73a658,2025-12-25,2026-01-24,1079.97,94.5,1174.47,Paid,SampleGen
INV-ec375087-42d6-43fd-9840-c4ad93c32fff,IS300012,CID-005,ec375087-42d6-43fd-9840-c4ad93c32fff,2023-01-16,2023-02-15,129.99,11.37,141.36,Paid,SampleGen
INV-405e98d7-ee05-404a-a8da-17bd29270e69,IS300013,CID-006,405e98d7-ee05-404a-a8da-17bd29270e69,2023-02-10,2023-03-12,2249.96,196.87,2446.83,Paid,SampleGen
INV-7acba995-92ff-48e9-95cd-97a8952306e6,IS300014,CID-006,7acba995-92ff-48e9-95cd-97a8952306e6,2023-10-07,2023-11-06,809.97,70.87,880.84,Paid,SampleGen
INV-3dad393b-67fd-44f0-956e-2bcebb08ec09,IS300015,CID-006,3dad393b-67fd-44f0-956e-2bcebb08ec09,2023-04-01,2023-05-01,899.97,78.75,978.72,Paid,SampleGen
INV-e6e5f2ec-cf68-4c18-b666-02659342685e,IS300016,CID-006,e6e5f2ec-cf68-4c18-b666-02659342685e,2023-07-18,2023-08-17,1199.93,105.0,1304.93,Paid,SampleGen
INV-a53642ce-d287-4d2d-879d-1a14d15c8f7a,IS300017,CID-006,a53642ce-d287-4d2d-879d-1a14d15c8f7a,2024-01-25,2024-02-24,2599.97,227.5,2827.47,Paid,SampleGen
INV-65e65d89-df1c-409b-a2a2-6743a9d8e416,IS300018,CID-006,65e65d89-df1c-409b-a2a2-6743a9d8e416,2023-09-09,2023-10-09,1379.95,120.75,1500.7,Paid,SampleGen
INV-c5c68166-b114-4ab4-a3a6-2076aada4866,IS300019,CID-007,c5c68166-b114-4ab4-a3a6-2076aada4866,2024-11-06,2024-12-06,1799.96,157.5,1957.46,Paid,SampleGen
INV-e293ce5a-ff62-4967-9f57-e1d3289544a2,IS300020,CID-008,e293ce5a-ff62-4967-9f57-e1d3289544a2,2025-04-30,2025-05-30,799.98,70.0,869.98,Paid,SampleGen
INV-5154c7e8-c69e-4de0-b343-82101628e250,IS300021,CID-008,5154c7e8-c69e-4de0-b343-82101628e250,2023-08-12,2023-09-11,599.98,52.5,652.48,Paid,SampleGen
INV-a63fd4ce-6688-484b-9722-d71cfcd0256e,IS300022,CID-008,a63fd4ce-6688-484b-9722-d71cfcd0256e,2024-10-06,2024-11-05,1469.96,128.62,1598.58,Paid,SampleGen
INV-b8086e27-3a32-4358-9ea1-50b49c3a03a5,IS300023,CID-008,b8086e27-3a32-4358-9ea1-50b49c3a03a5,2026-01-30,2026-03-01,399.99,35.0,434.99,Paid,SampleGen
INV-4cddb9fb-15ed-49b4-b091-667efc9b16ab,IS300024,CID-008,4cddb9fb-15ed-49b4-b091-667efc9b16ab,2024-08-09,2024-09-08,189.99,16.62,206.61,Paid,SampleGen
INV-89b61eaf-81d3-47b5-a8e6-61a63e7b7d79,IS300025,CID-009,89b61eaf-81d3-47b5-a8e6-61a63e7b7d79,2023-10-13,2023-11-12,2049.95,179.37,2229.32,Paid,SampleGen
INV-878e0e95-f6ea-499f-afff-f7862d39a7e4,IS300026,CID-010,878e0e95-f6ea-499f-afff-f7862d39a7e4,2023-07-12,2023-08-11,239.98,21.0,260.98,Paid,SampleGen
INV-a91416b7-969a-4f17-8523-c504ce01a4f3,IS300027,CID-010,a91416b7-969a-4f17-8523-c504ce01a4f3,2023-09-22,2023-10-22,2689.94,235.37,2925.31,Paid,SampleGen
INV-38847116-a540-4244-bbce-9aae375d7c01,IS300028,CID-010,38847116-a540-4244-bbce-9aae375d7c01,2025-06-05,2025-07-05,479.96,42.0,521.96,Paid,SampleGen
INV-eea20680-ff1d-42e7-b59f-fe9be72cf15b,IS300029,CID-010,eea20680-ff1d-42e7-b59f-fe9be72cf15b,2024-05-03,2024-06-02,1599.96,140.0,1739.96,Paid,SampleGen
INV-ecd8739e-e6f7-482e-b70c-d67dcaaa879c,IS300030,CID-010,ecd8739e-e6f7-482e-b70c-d67dcaaa879c,2023-10-05,2023-11-04,5149.93,450.62,5600.55,Paid,SampleGen
INV-40ab8a87-5af8-47c6-8d11-6f4a68b98a07,IS300031,CID-010,40ab8a87-5af8-47c6-8d11-6f4a68b98a07,2024-11-26,2024-12-26,129.99,11.37,141.36,Paid,SampleGen
INV-af768a38-b76f-42bd-86f5-24f568b0cf44,IS300032,CID-010,af768a38-b76f-42bd-86f5-24f568b0cf44,2024-10-25,2024-11-24,1149.97,100.62,1250.59,Paid,SampleGen
INV-af8f8437-dfd3-46af-95c4-4e73786b4862,IS300033,CID-010,af8f8437-dfd3-46af-95c4-4e73786b4862,2025-05-19,2025-06-18,859.96,75.24,935.2,Paid,SampleGen
INV-3aa2a630-2954-459e-8beb-d4f886c6688d,IS300034,CID-010,3aa2a630-2954-459e-8beb-d4f886c6688d,2024-03-24,2024-04-23,1299.99,113.75,1413.74,Paid,SampleGen
INV-84535061-89ff-4b66-b0da-d418cb75388e,IS300035,CID-010,84535061-89ff-4b66-b0da-d418cb75388e,2023-10-20,2023-11-19,1799.94,157.5,1957.44,Paid,SampleGen
INV-e4800dc9-027c-48fd-83aa-35e1098a8e85,IS300036,CID-011,e4800dc9-027c-48fd-83aa-35e1098a8e85,2023-10-22,2023-11-21,1229.98,107.62,1337.6,Paid,SampleGen
INV-93141c81-ef5a-43f1-8df2-f85d531c61e9,IS300037,CID-011,93141c81-ef5a-43f1-8df2-f85d531c61e9,2024-12-30,2025-01-29,3259.95,285.25,3545.2,Paid,SampleGen
INV-01f35fa4-4698-4704-8ffa-de774d0a699f,IS300038,CID-012,01f35fa4-4698-4704-8ffa-de774d0a699f,2025-02-03,2025-03-05,199.99,17.5,217.49,Paid,SampleGen
INV-6a904293-f2f9-412d-9260-15fc242749af,IS300039,CID-012,6a904293-f2f9-412d-9260-15fc242749af,2024-02-03,2024-03-04,5549.94,485.62,6035.56,Paid,SampleGen
INV-e2be9639-8481-45b9-880b-22ecb6ff5361,IS300040,CID-013,e2be9639-8481-45b9-880b-22ecb6ff5361,2025-01-22,2025-02-21,2459.94,215.25,2675.19,Paid,SampleGen
