PurchaseOrderID,PurchaseOrderNumber,SupplierID,SupplierName,OrderDate,ExpectedDeliveryDate,ActualDeliveryDate,Status,TotalOrderValue,DeliveryLocation,OrderedBy,Priority,Notes,CreatedBy,CreatedDate
1,PO-2026-0001,3,Alpine Ski House,2026-03-30,2026-04-16,2026-04-18,Delivered,72893.12,Backup Warehouse,supply_manager,Low,Order for Ski products,system,2026-03-30 00:00:00
2,PO-2026-0002,4,Worldwide Importers,2026-02-12,2026-03-09,2026-03-11,Delivered,4923.26,Regional DC,buyer1,Low,Multi-category order,system,2026-02-12 00:00:00
3,PO-2026-0003,3,Alpine Ski House,2026-04-20,2026-04-30,,Confirmed,160083.89,Backup Warehouse,buyer1,Low,Order for Ski products,system,2026-04-20 00:00:00
4,PO-2026-0004,2,Proseware Inc,2026-03-10,2026-03-22,2026-03-24,Delivered,17766.0,Main Warehouse,buyer2,Low,Order for Kitchen products,system,2026-03-10 00:00:00
5,PO-2026-0005,1,Contoso Ltd,2026-03-06,2026-03-17,2026-03-20,Delivered,51101.53,Backup Warehouse,buyer1,Low,Order for Camping products,system,2026-03-06 00:00:00
6,PO-2026-0006,1,Contoso Ltd,2026-04-28,2026-05-11,,Confirmed,12417.7,Main Warehouse,buyer2,Emergency,Order for Camping products,system,2026-04-28 00:00:00
7,PO-2026-0007,5,Fabrikam,2026-02-10,2026-02-26,2026-02-28,Delivered,14225.7,Main Warehouse,buyer2,Low,Order for Ski products,system,2026-02-10 00:00:00
8,PO-2026-0008,2,Proseware Inc,2026-02-21,2026-03-08,2026-03-10,Delivered,3374.89,Regional DC,buyer1,Low,Order for Kitchen products,system,2026-02-21 00:00:00
9,PO-2026-0009,1,Contoso Ltd,2026-01-30,2026-02-08,2026-02-08,Delivered,556.74,Main Warehouse,supply_manager,Medium,Order for Camping products,system,2026-01-30 00:00:00
10,PO-2026-0010,4,Worldwide Importers,2026-03-06,2026-04-01,2026-04-02,Delivered,7803.9,Main Warehouse,buyer2,Medium,Multi-category order,system,2026-03-06 00:00:00
11,PO-2026-0011,2,Proseware Inc,2026-02-09,2026-02-20,2026-02-22,Delivered,556.44,Regional DC,buyer2,High,Order for Kitchen products,system,2026-02-09 00:00:00
12,PO-2026-0012,5,Fabrikam,2026-04-21,2026-05-06,,InTransit,15457.29,Regional DC,supply_manager,Medium,Order for Ski products,system,2026-04-21 00:00:00
13,PO-2026-0013,1,Contoso Ltd,2026-03-21,2026-04-01,2026-04-02,Delivered,10927.67,Regional DC,buyer1,High,Order for Camping products,system,2026-03-21 00:00:00
14,PO-2026-0014,2,Proseware Inc,2026-02-28,2026-03-08,2026-03-11,Delivered,647.46,Backup Warehouse,supply_manager,High,Order for Kitchen products,system,2026-02-28 00:00:00
15,PO-2026-0015,2,Proseware Inc,2026-04-06,2026-04-18,2026-04-18,Delivered,14216.06,Main Warehouse,buyer1,Medium,Order for Kitchen products,system,2026-04-06 00:00:00
16,PO-2026-0016,3,Alpine Ski House,2026-02-05,2026-02-20,2026-02-21,Delivered,18615.77,Main Warehouse,buyer1,Medium,Order for Ski products,system,2026-02-05 00:00:00
17,PO-2026-0017,3,Alpine Ski House,2026-02-28,2026-03-14,2026-03-15,Delivered,4287.64,Main Warehouse,supply_manager,Low,Order for Ski products,system,2026-02-28 00:00:00
18,PO-2026-0018,2,Proseware Inc,2026-04-15,2026-04-23,,InTransit,1025.27,Main Warehouse,buyer2,High,Order for Kitchen products,system,2026-04-15 00:00:00
19,PO-2026-0019,5,Fabrikam,2026-02-09,2026-02-21,2026-03-05,Delivered,69712.75,Regional DC,buyer1,Medium,Order for Ski products,system,2026-02-09 00:00:00
