InvoiceId,InvoiceNumber,CustomerId,OrderId,InvoiceDate,DueDate,SubTotal,TaxAmount,TotalAmount,InvoiceStatus,CreatedBy
INV-28b27c75-9558-4270-bfd5-2970ae0305ea,IS300000,CID-001,28b27c75-9558-4270-bfd5-2970ae0305ea,2022-08-31,2022-09-30,79.99,7.0,86.99,Paid,SampleGen
INV-6e8ea5bd-9a04-4573-af37-017df01decba,IS300001,CID-001,6e8ea5bd-9a04-4573-af37-017df01decba,2022-10-25,2022-11-24,879.95,77.0,956.95,Paid,SampleGen
INV-72a97211-4a79-49f2-a255-6032376e0a08,IS300002,CID-001,72a97211-4a79-49f2-a255-6032376e0a08,2023-06-13,2023-07-13,159.98,14.0,173.98,Paid,SampleGen
INV-f6163539-0385-4420-9f9c-e6890be0e586,IS300003,CID-001,f6163539-0385-4420-9f9c-e6890be0e586,2022-04-26,2022-05-26,299.97,26.25,326.22,Paid,SampleGen
INV-12019153-4b02-4e4a-a9e9-cbf69c34ee55,IS300004,CID-001,12019153-4b02-4e4a-a9e9-cbf69c34ee55,2021-10-08,2021-11-07,2499.93,218.75,2718.68,Paid,SampleGen
INV-2890becc-5713-431e-aa3b-ca9c9c9ec268,IS300005,CID-002,2890becc-5713-431e-aa3b-ca9c9c9ec268,2024-04-22,2024-05-22,119.99,10.5,130.49,Paid,SampleGen
INV-b0272a46-e000-4d04-bd80-c62256fe32f7,IS300006,CID-002,b0272a46-e000-4d04-bd80-c62256fe32f7,2022-05-06,2022-06-05,699.98,61.25,761.23,Paid,SampleGen
INV-84ce9f8a-5893-4347-ba79-9f4266bd9c50,IS300007,CID-003,84ce9f8a-5893-4347-ba79-9f4266bd9c50,2026-03-22,2026-04-21,2389.94,209.12,2599.06,Paid,SampleGen
INV-ccb8cd09-e7bf-434b-bf7c-68e523f67332,IS300008,CID-003,ccb8cd09-e7bf-434b-bf7c-68e523f67332,2023-03-19,2023-04-18,569.97,49.87,619.84,Paid,SampleGen
INV-33a55e00-4467-44e1-a025-682fd71b7194,IS300009,CID-003,33a55e00-4467-44e1-a025-682fd71b7194,2021-12-19,2022-01-18,2999.94,262.49,3262.43,Paid,SampleGen
