PaymentId,InvoiceId,CustomerId,PaymentDate,PaymentAmount,PaymentMethod,PaymentStatus,CreatedBy
PAY-c392288d-2830-41cf-a330-abd7c8a6371d,INV-c392288d-2830-41cf-a330-abd7c8a6371d,CID-001,2026-02-20,2827.45,VISA,Completed,SampleGen
PAY-0af38669-5192-468b-81d0-357d30ad3730,INV-0af38669-5192-468b-81d0-357d30ad3730,CID-001,2025-10-15,706.85,AmEx,Completed,SampleGen
PAY-188830e4-46f1-4ee9-b27b-685d7612fae4,INV-188830e4-46f1-4ee9-b27b-685d7612fae4,CID-001,2025-03-07,4241.21,Discover,Completed,SampleGen
PAY-5f72cf16-8393-4eba-ac0e-725cd4d43ab8,INV-5f72cf16-8393-4eba-ac0e-725cd4d43ab8,CID-001,2025-12-26,1903.1,VISA,Completed,SampleGen
PAY-4a9a8f81-769d-4c3c-b97f-65190e67fc32,INV-4a9a8f81-769d-4c3c-b97f-65190e67fc32,CID-001,2025-05-26,826.45,PayPal,Completed,SampleGen
PAY-8b7b72f9-3d1d-49d6-ac1d-529d78b5e3ff,INV-8b7b72f9-3d1d-49d6-ac1d-529d78b5e3ff,CID-001,2026-02-19,3115.64,MC,Completed,SampleGen
PAY-7da4df28-75b2-4105-8ef0-8d0fcc09d6a6,INV-7da4df28-75b2-4105-8ef0-8d0fcc09d6a6,CID-001,2025-06-29,413.22,Discover,Completed,SampleGen
PAY-ffaae981-b445-4fde-926f-e2e6dfd6e0ab,INV-ffaae981-b445-4fde-926f-e2e6dfd6e0ab,CID-002,2025-01-04,4001.96,MC,Completed,SampleGen
PAY-58463afe-b778-405e-878a-3cfd96c27dfc,INV-58463afe-b778-405e-878a-3cfd96c27dfc,CID-003,2026-04-10,543.73,Discover,Completed,SampleGen
PAY-38485729-3b12-4219-ab83-aed6e37fb6ac,INV-38485729-3b12-4219-ab83-aed6e37fb6ac,CID-003,2025-04-29,598.07,VISA,Completed,SampleGen
PAY-25d88b88-8fae-4b78-9b5b-2e7378098e4e,INV-25d88b88-8fae-4b78-9b5b-2e7378098e4e,CID-004,2025-11-20,2011.81,AmEx,Completed,SampleGen
PAY-e50941ba-64be-496a-b50c-1b65410341f4,INV-e50941ba-64be-496a-b50c-1b65410341f4,CID-005,2025-08-24,206.61,Discover,Completed,SampleGen
PAY-10cfc14a-5779-4a85-a53a-8cd82dd300b8,INV-10cfc14a-5779-4a85-a53a-8cd82dd300b8,CID-005,2025-12-30,2348.94,PayPal,Completed,SampleGen
PAY-ed7b3d22-d1d1-452d-8592-82cf57540fcc,INV-ed7b3d22-d1d1-452d-8592-82cf57540fcc,CID-005,2025-12-29,2131.46,AmEx,Completed,SampleGen
PAY-56e1f156-354d-40b3-a27a-01ec5d7941f1,INV-56e1f156-354d-40b3-a27a-01ec5d7941f1,CID-005,2025-05-30,3534.31,VISA,Completed,SampleGen
PAY-e0a5a401-41ff-450c-ad46-1e404674ceec,INV-e0a5a401-41ff-450c-ad46-1e404674ceec,CID-006,2026-01-17,4295.56,PayPal,Completed,SampleGen
PAY-47b3dd38-b38f-47f1-b08f-4ce20027ea2c,INV-47b3dd38-b38f-47f1-b08f-4ce20027ea2c,CID-006,2025-06-22,489.36,AmEx,Completed,SampleGen
PAY-7c6bd941-dc8d-434c-8dbd-241c4790b5dc,INV-7c6bd941-dc8d-434c-8dbd-241c4790b5dc,CID-006,2026-04-28,989.56,MC,Completed,SampleGen
PAY-1229cb4f-5566-444e-9c5b-072492184589,INV-1229cb4f-5566-444e-9c5b-072492184589,CID-006,2026-02-04,293.59,PayPal,Completed,SampleGen
PAY-c00354c5-17e9-49f0-8b9c-1d66ed7288a3,INV-c00354c5-17e9-49f0-8b9c-1d66ed7288a3,CID-006,2025-02-04,1631.2,AmEx,Completed,SampleGen
PAY-34e0273c-5f8f-4d6b-9d27-200873fbb4f5,INV-34e0273c-5f8f-4d6b-9d27-200873fbb4f5,CID-007,2025-11-17,260.98,PayPal,Completed,SampleGen
PAY-b5595995-87e7-4266-96c2-b7c3ca3f7a42,INV-b5595995-87e7-4266-96c2-b7c3ca3f7a42,CID-007,2026-03-12,1381.09,VISA,Completed,SampleGen
PAY-e4f0e88f-d5ab-42bc-af63-ede33f59b045,INV-e4f0e88f-d5ab-42bc-af63-ede33f59b045,CID-008,2025-07-13,1413.73,AmEx,Completed,SampleGen
PAY-ad2ecd5e-07aa-48f9-99f2-fd8d483ffe66,INV-ad2ecd5e-07aa-48f9-99f2-fd8d483ffe66,CID-008,2025-05-10,630.72,Discover,Completed,SampleGen
PAY-57aeca40-ea50-490b-84a8-24e28e26edb5,INV-57aeca40-ea50-490b-84a8-24e28e26edb5,CID-008,2026-03-23,1391.97,VISA,Completed,SampleGen
PAY-cb0400c1-7985-4067-bd4a-badb60ab8c47,INV-cb0400c1-7985-4067-bd4a-badb60ab8c47,CID-008,2025-03-13,260.98,AmEx,Completed,SampleGen
PAY-04cccf87-8b8e-443a-99b9-af1868fca8d5,INV-04cccf87-8b8e-443a-99b9-af1868fca8d5,CID-009,2025-12-13,2174.96,PayPal,Completed,SampleGen
PAY-a24413ad-9f9e-46d1-b43b-f03223f9503f,INV-a24413ad-9f9e-46d1-b43b-f03223f9503f,CID-010,2026-01-02,1250.59,VISA,Completed,SampleGen
PAY-9be4b1f0-3e95-4b90-a302-4eb27d38c354,INV-9be4b1f0-3e95-4b90-a302-4eb27d38c354,CID-010,2025-06-18,685.09,Discover,Completed,SampleGen
PAY-c80cdb40-8af7-4193-bcf5-8ef705cf94d4,INV-c80cdb40-8af7-4193-bcf5-8ef705cf94d4,CID-010,2025-03-04,761.23,VISA,Completed,SampleGen
PAY-85309d43-b146-4d9e-955f-12e01a9dd69f,INV-85309d43-b146-4d9e-955f-12e01a9dd69f,CID-010,2025-06-06,886.29,VISA,Completed,SampleGen
PAY-0ed105fc-c35c-468e-8e07-1e38439f67c0,INV-0ed105fc-c35c-468e-8e07-1e38439f67c0,CID-010,2025-01-22,2392.48,AmEx,Completed,SampleGen
PAY-52d621d7-41df-458b-8a7a-5be8b017dbe6,INV-52d621d7-41df-458b-8a7a-5be8b017dbe6,CID-010,2025-06-30,587.22,PayPal,Completed,SampleGen
PAY-c4d377f4-6c46-4fe8-a836-468695998621,INV-c4d377f4-6c46-4fe8-a836-468695998621,CID-010,2025-06-22,2120.59,VISA,Completed,SampleGen
PAY-83aff758-96e0-4f55-b4f2-8112b1e8ebd7,INV-83aff758-96e0-4f55-b4f2-8112b1e8ebd7,CID-010,2025-04-01,1478.95,MC,Completed,SampleGen
PAY-619500f9-a0e3-4b35-959b-0b1d9488ca80,INV-619500f9-a0e3-4b35-959b-0b1d9488ca80,CID-010,2025-11-15,848.22,Discover,Completed,SampleGen
PAY-a827167f-591b-4d4f-a515-f5e5cb750922,INV-a827167f-591b-4d4f-a515-f5e5cb750922,CID-010,2025-03-02,1685.56,VISA,Completed,SampleGen
