ProductCategoryID,ProductLineID,CategoryName,CategoryDescription,IsActive,CreatedBy,CreatedDate
301,3,Alpine Skis,Alpine Skis for winter sports and cold weather activities.,TRUE,system,01-01-2025
302,3,Cross-Country Skis,Cross-Country Skis for winter sports and cold weather activities.,TRUE,system,01-01-2025
303,3,Ski Boots,Ski Boots for winter sports and cold weather activities.,TRUE,system,01-01-2025
304,3,Ski Poles,Ski Poles for winter sports and cold weather activities.,TRUE,system,01-01-2025
305,3,Ski Apparel,Ski Apparel for winter sports and cold weather activities.,TRUE,system,01-01-2025
306,3,Safety Equipment,Safety Equipment for winter sports and cold weather activities.,TRUE,system,01-01-2025
307,3,Ski Accessories,Ski Accessories for winter sports and cold weather activities.,TRUE,system,01-01-2025
308,3,Ski Maintenance,Ski Maintenance for winter sports and cold weather activities.,TRUE,system,01-01-2025
309,3,Snowboards & Equipment,Snowboards & Equipment for winter sports and cold weather activities.,TRUE,system,01-01-2025
310,3,Winter Footwear,Winter Footwear for winter sports and cold weather activities.,TRUE,system,01-01-2025
