PurchaseOrderItemID,PurchaseOrderID,PurchaseOrderNumber,ProductID,ProductName,ProductCategory,QuantityOrdered,QuantityReceived,UnitCost,LineTotal,Status,ExpectedDate,ReceivedDate,Notes,CreatedBy,CreatedDate
1,1,PO-2026-0001,3071,Ski Boot Bag - Premium,Ski,11,11.0,42.67,469.37,Received,2026-04-16,2026-04-18,Supplier SKU: ALP-3071,system,2026-03-30 00:00:00
2,1,PO-2026-0001,3104,Ski Tuning Bench - Portable,Ski,37,37.0,151.01,5587.37,Received,2026-04-16,2026-04-18,Supplier SKU: ALP-3104,system,2026-03-30 00:00:00
3,1,PO-2026-0001,3021,Nordic Classic XC Skis - 185cm,Ski,110,110.0,269.45,29639.5,Received,2026-04-16,2026-04-18,Supplier SKU: ALP-3021,system,2026-03-30 00:00:00
4,1,PO-2026-0001,3102,Winter Hiking Boots - Waterproof,Ski,196,191.0,189.78,37196.88,Backordered,2026-04-16,2026-04-18,Supplier SKU: ALP-3102,system,2026-03-30 00:00:00
5,2,PO-2026-0002,2031,Coffee Mug,Kitchen,199,199.0,24.74,4923.26,Received,2026-03-09,2026-03-11,Supplier SKU: WOR-2031,system,2026-02-12 00:00:00
6,3,PO-2026-0003,3062,Anti-Fog Ski Goggles,Ski,20,,80.29,1605.8,Pending,2026-04-30,,Supplier SKU: ALP-3062,system,2026-04-20 00:00:00
7,3,PO-2026-0003,3072,Hand Warmers - 10 Pack,Ski,51,,11.38,580.38,Pending,2026-04-30,,Supplier SKU: ALP-3072,system,2026-04-20 00:00:00
8,3,PO-2026-0003,3091,Freestyle Snowboard - 155cm,Ski,243,,474.97,115417.71,Pending,2026-04-30,,Supplier SKU: ALP-3091,system,2026-04-20 00:00:00
9,3,PO-2026-0003,3032,Comfort Fit Recreational Boots,Ski,144,,295.0,42480.0,Pending,2026-04-30,,Supplier SKU: ALP-3032,system,2026-04-20 00:00:00
10,4,PO-2026-0004,2101,Measuring Cup Set,Kitchen,81,60.0,15.47,1253.07,Backordered,2026-03-22,2026-03-24,Supplier SKU: PRO-2101,system,2026-03-10 00:00:00
11,4,PO-2026-0004,2011,Coffee Maker,Kitchen,103,103.0,140.25,14445.75,Received,2026-03-22,2026-03-24,Supplier SKU: PRO-2011,system,2026-03-10 00:00:00
12,4,PO-2026-0004,2012,Espresso Machine,Kitchen,1,1.0,317.94,317.94,Received,2026-03-22,2026-03-24,Supplier SKU: PRO-2012,system,2026-03-10 00:00:00
13,4,PO-2026-0004,2031,Coffee Mug,Kitchen,46,46.0,21.16,973.36,Received,2026-03-22,2026-03-24,Supplier SKU: PRO-2031,system,2026-03-10 00:00:00
14,4,PO-2026-0004,2022,Fork Set,Kitchen,28,28.0,27.71,775.88,Received,2026-03-22,2026-03-24,Supplier SKU: PRO-2022,system,2026-03-10 00:00:00
15,5,PO-2026-0005,1562,PowerBurner Camping Stove,Camping,152,152.0,144.13,21907.76,Received,2026-03-17,2026-03-20,Supplier SKU: CON-1562,system,2026-03-06 00:00:00
16,5,PO-2026-0005,1553,Adventure Dining Table,Camping,34,34.0,115.61,3930.74,Received,2026-03-17,2026-03-20,Supplier SKU: CON-1553,system,2026-03-06 00:00:00
17,5,PO-2026-0005,1511,Alpine Explorer Tent,Camping,4,4.0,339.44,1357.76,Received,2026-03-17,2026-03-20,Supplier SKU: CON-1511,system,2026-03-06 00:00:00
18,5,PO-2026-0005,1512,SkyView 2-Person Tent,Camping,103,103.0,232.09,23905.27,Received,2026-03-17,2026-03-20,Supplier SKU: CON-1512,system,2026-03-06 00:00:00
19,6,PO-2026-0006,1561,EcoFire Camping Stove,Camping,1,,95.91,95.91,Pending,2026-05-11,,Supplier SKU: CON-1561,system,2026-04-28 00:00:00
20,6,PO-2026-0006,1571,CozyNights Sleeping Bag,Camping,5,,124.47,622.35,Pending,2026-05-11,,Supplier SKU: CON-1571,system,2026-04-28 00:00:00
