PurchaseOrderID,PurchaseOrderNumber,SupplierID,SupplierName,OrderDate,ExpectedDeliveryDate,ActualDeliveryDate,Status,TotalOrderValue,DeliveryLocation,OrderedBy,Priority,Notes,CreatedBy,CreatedDate
1,PO-2026-0001,4,Worldwide Importers,2026-11-19,2026-12-14,2026-12-15,Delivered,549.94,Regional DC,supply_manager,Low,Multi-category order,system,2026-11-19
2,PO-2026-0002,3,Alpine Ski House,2026-12-25,2027-01-07,,Confirmed,1197.15,Backup Warehouse,supply_manager,Low,Multi-category order,system,2026-12-25
3,PO-2026-0003,1,Contoso Ltd,2026-12-13,2026-12-23,2026-12-25,Delivered,1099.72,Main Warehouse,buyer1,Medium,Multi-category order,system,2026-12-13
4,PO-2026-0004,7,Worldwide Importers,2026-11-07,2026-11-26,2026-11-27,Delivered,0.0,Main Warehouse,buyer2,Medium,Multi-category order,system,2026-11-07
5,PO-2026-0005,3,Alpine Ski House,2026-12-23,2027-01-05,,InTransit,6521.06,Main Warehouse,buyer2,Low,Multi-category order,system,2026-12-23
6,PO-2026-0006,3,Alpine Ski House,2026-12-16,2027-01-01,,InTransit,1348.85,Regional DC,supply_manager,Low,Multi-category order,system,2026-12-16
7,PO-2026-0007,6,Worldwide Importers,2026-12-23,2027-01-12,,InTransit,0.0,Main Warehouse,supply_manager,Low,Multi-category order,system,2026-12-23
8,PO-2026-0008,4,Worldwide Importers,2026-10-14,2026-11-06,2026-11-09,Delivered,8564.55,Main Warehouse,buyer2,Medium,Multi-category order,system,2026-10-14
9,PO-2026-0009,7,Worldwide Importers,2026-11-01,2026-11-25,2026-11-26,Delivered,0.0,Backup Warehouse,buyer2,Low,Multi-category order,system,2026-11-01
10,PO-2026-0010,2,Proseware Inc,2026-11-30,2026-12-13,2026-12-16,Delivered,118.24,Regional DC,buyer2,Low,Multi-category order,system,2026-11-30
11,PO-2026-0011,7,Worldwide Importers,2026-10-17,2026-11-09,2026-11-11,Delivered,0.0,Regional DC,buyer2,High,Multi-category order,system,2026-10-17
12,PO-2026-0012,2,Proseware Inc,2026-12-17,2026-12-27,2026-12-29,Delivered,2810.0,Regional DC,supply_manager,Low,Multi-category order,system,2026-12-17
13,PO-2026-0013,1,Contoso Ltd,2026-11-25,2026-12-06,2026-12-08,Delivered,5237.33,Backup Warehouse,buyer2,Medium,Multi-category order,system,2026-11-25
14,PO-2026-0014,6,Worldwide Importers,2026-10-22,2026-11-13,2026-11-15,Delivered,0.0,Backup Warehouse,buyer2,Low,Multi-category order,system,2026-10-22
15,PO-2026-0015,6,Worldwide Importers,2026-10-09,2026-11-04,2026-11-04,Delivered,0.0,Backup Warehouse,supply_manager,Low,Multi-category order,system,2026-10-09
16,PO-2026-0016,2,Proseware Inc,2026-12-03,2026-12-15,2026-12-18,Delivered,181.25,Main Warehouse,supply_manager,Low,Multi-category order,system,2026-12-03
