PaymentId,InvoiceId,CustomerId,PaymentDate,PaymentAmount,PaymentMethod,PaymentStatus,CreatedBy
PAY-1c498a22-e8cc-4fcd-866e-50f08f870b13,INV-1c498a22-e8cc-4fcd-866e-50f08f870b13,CID-001,2021-01-19,3860.57,AmEx,Completed,SampleGen
PAY-5929f7d2-431c-451f-ac7f-1e734d4a9f85,INV-5929f7d2-431c-451f-ac7f-1e734d4a9f85,CID-001,2022-08-03,706.86,MC,Completed,SampleGen
PAY-5838ea43-ceb6-4ee6-bef9-9c0f755f2ba7,INV-5838ea43-ceb6-4ee6-bef9-9c0f755f2ba7,CID-001,2023-07-15,445.83,VISA,Completed,SampleGen
PAY-67c7d50a-25ac-4108-a35a-91cc8da186b6,INV-67c7d50a-25ac-4108-a35a-91cc8da186b6,CID-002,2021-07-21,434.98,AmEx,Completed,SampleGen
PAY-870cdea8-1030-4cc1-8e08-8bed9059d4fe,INV-870cdea8-1030-4cc1-8e08-8bed9059d4fe,CID-003,2025-01-09,3371.21,VISA,Completed,SampleGen
PAY-962c4f89-db78-4dab-896e-38d569790526,INV-962c4f89-db78-4dab-896e-38d569790526,CID-003,2022-10-13,2490.31,AmEx,Completed,SampleGen
PAY-7c5a1f46-69e8-402a-8bff-09581eadfa58,INV-7c5a1f46-69e8-402a-8bff-09581eadfa58,CID-003,2021-05-16,1130.95,Discover,Completed,SampleGen
PAY-fedce8c4-7e68-46a1-a61d-341f8cb036ba,INV-fedce8c4-7e68-46a1-a61d-341f8cb036ba,CID-003,2025-03-07,859.07,VISA,Completed,SampleGen
PAY-41b41eb5-402e-4bd1-8640-ce69361b3444,INV-41b41eb5-402e-4bd1-8640-ce69361b3444,CID-004,2024-10-07,4230.31,PayPal,Completed,SampleGen
PAY-51fc272e-922c-4e83-a14b-610f79da1d26,INV-51fc272e-922c-4e83-a14b-610f79da1d26,CID-005,2021-12-05,3479.94,VISA,Completed,SampleGen
PAY-e57d60ff-a300-4a04-adcb-cfcc88cd3fb0,INV-e57d60ff-a300-4a04-adcb-cfcc88cd3fb0,CID-005,2021-04-09,1696.43,MC,Completed,SampleGen
PAY-89d411d1-15de-4d74-8ea9-9e1930088b3d,INV-89d411d1-15de-4d74-8ea9-9e1930088b3d,CID-005,2021-11-22,652.48,AmEx,Completed,SampleGen
PAY-1055e63f-4adb-4445-b49a-196e48fc79dc,INV-1055e63f-4adb-4445-b49a-196e48fc79dc,CID-006,2026-02-13,2164.08,PayPal,Completed,SampleGen
PAY-55ecbe06-6789-42c2-a6d9-a61032d68145,INV-55ecbe06-6789-42c2-a6d9-a61032d68145,CID-006,2025-01-27,2990.56,VISA,Completed,SampleGen
PAY-d3a7e6bf-92dc-43af-bbd1-334562b6af91,INV-d3a7e6bf-92dc-43af-bbd1-334562b6af91,CID-006,2024-08-29,706.86,VISA,Completed,SampleGen
PAY-ba52edb2-c4a7-4e0d-a4f1-d092e45b441d,INV-ba52edb2-c4a7-4e0d-a4f1-d092e45b441d,CID-007,2021-08-21,4784.96,AmEx,Completed,SampleGen
PAY-1a35e3a6-179e-496c-abd0-495dcd5106e3,INV-1a35e3a6-179e-496c-abd0-495dcd5106e3,CID-007,2025-11-08,1685.6,PayPal,Completed,SampleGen
PAY-19acb050-3b17-4e30-90e8-26c38bcd387a,INV-19acb050-3b17-4e30-90e8-26c38bcd387a,CID-008,2022-12-09,1413.71,Discover,Completed,SampleGen
PAY-62b71bb3-a444-4ce3-989e-f6f3288e3c6a,INV-62b71bb3-a444-4ce3-989e-f6f3288e3c6a,CID-008,2024-01-13,5035.06,Discover,Completed,SampleGen
PAY-de9da9db-1c6c-4005-ad1c-1052c2af5810,INV-de9da9db-1c6c-4005-ad1c-1052c2af5810,CID-009,2021-03-23,913.47,AmEx,Completed,SampleGen
PAY-a84f7fc8-6bcd-4f36-b582-69efca1624fd,INV-a84f7fc8-6bcd-4f36-b582-69efca1624fd,CID-010,2021-01-28,3044.92,AmEx,Completed,SampleGen
PAY-b49b6b45-48fe-4832-8dd2-37b378ba9f0d,INV-b49b6b45-48fe-4832-8dd2-37b378ba9f0d,CID-010,2022-07-17,233.78,VISA,Completed,SampleGen
PAY-e76e4f6c-d572-4f40-9c33-68b8f82865e5,INV-e76e4f6c-d572-4f40-9c33-68b8f82865e5,CID-010,2022-05-08,1652.93,AmEx,Completed,SampleGen
PAY-addf1995-6273-492c-b5c6-af53e4d4fc9c,INV-addf1995-6273-492c-b5c6-af53e4d4fc9c,CID-010,2024-07-26,146.79,PayPal,Completed,SampleGen
PAY-19b00e09-491c-4d39-8bec-b44ff5068c08,INV-19b00e09-491c-4d39-8bec-b44ff5068c08,CID-010,2022-12-14,489.36,VISA,Completed,SampleGen
PAY-cd8b4c27-74dd-4923-9395-e20c975ece64,INV-cd8b4c27-74dd-4923-9395-e20c975ece64,CID-010,2022-08-11,2457.71,AmEx,Completed,SampleGen
PAY-46bc8b3f-ac55-43ee-8a1a-5199afa5e22a,INV-46bc8b3f-ac55-43ee-8a1a-5199afa5e22a,CID-011,2021-11-26,434.98,MC,Completed,SampleGen
PAY-42aa5254-cc33-4b6c-b35e-dead4f0dbb08,INV-42aa5254-cc33-4b6c-b35e-dead4f0dbb08,CID-011,2023-11-19,1555.08,MC,Completed,SampleGen
PAY-1ba51b56-12ce-4e29-9375-478bc7b61f6f,INV-1ba51b56-12ce-4e29-9375-478bc7b61f6f,CID-011,2022-09-21,3023.22,VISA,Completed,SampleGen
PAY-487db29f-dcce-45f1-bd52-1fae3feb368b,INV-487db29f-dcce-45f1-bd52-1fae3feb368b,CID-011,2022-09-21,2044.47,MC,Completed,SampleGen
PAY-1fd78837-dbdb-4744-ab1f-1a43cfe5f943,INV-1fd78837-dbdb-4744-ab1f-1a43cfe5f943,CID-012,2023-08-25,206.61,PayPal,Completed,SampleGen
PAY-09c055ac-a8f4-43fb-9f18-0cdf9dd07ca0,INV-09c055ac-a8f4-43fb-9f18-0cdf9dd07ca0,CID-013,2025-07-29,1082.01,VISA,Completed,SampleGen
PAY-bf97f415-c483-49e5-b89b-69494a72d9a1,INV-bf97f415-c483-49e5-b89b-69494a72d9a1,CID-013,2023-03-18,706.86,PayPal,Completed,SampleGen
PAY-b190c6cc-bba7-47b2-ba12-2f3ee04c3c96,INV-b190c6cc-bba7-47b2-ba12-2f3ee04c3c96,CID-013,2024-09-24,706.86,PayPal,Completed,SampleGen
PAY-42ab7a6e-388d-414c-82b7-98434079fb27,INV-42ab7a6e-388d-414c-82b7-98434079fb27,CID-013,2025-08-25,1739.98,VISA,Completed,SampleGen
PAY-5d8c7c36-e978-4f06-b717-fd85dd83abae,INV-5d8c7c36-e978-4f06-b717-fd85dd83abae,CID-014,2021-06-05,978.74,Discover,Completed,SampleGen
PAY-a509c16f-ff36-4d51-b5ba-fc45c5a25bb9,INV-a509c16f-ff36-4d51-b5ba-fc45c5a25bb9,CID-015,2025-07-30,413.23,MC,Completed,SampleGen
