InventoryID,ProductID,ProductName,ProductCategory,WarehouseLocation,CurrentStock,ReservedStock,AvailableStock,SafetyStockLevel,ReorderPoint,MaxStockLevel,LastUpdated,AverageCost,Status,CreatedBy,CreatedDate
1,1521,Adventurer Pro Backpack,Camping,Main,275,61,214,196,347,1198,2026-03-10 03:01:56,119.33,Active,system,2025-09-18 12:01:56
2,1531,Summit Breeze Jacket,Camping,Main,733,194,539,191,230,1051,2026-03-10 20:01:56,115.69,Active,system,2025-09-12 12:01:56
3,1541,TrekReady Hiking Boots,Camping,Main,407,75,332,82,137,509,2026-03-09 13:01:56,121.23,Active,system,2025-12-16 12:01:56
4,1541,TrekReady Hiking Boots,Camping,Backup,146,0,146,82,137,509,2026-03-09 13:01:56,121.23,Active,system,2025-12-16 12:01:56
5,1551,BaseCamp Folding Table,Camping,Backup,135,31,104,63,81,451,2026-03-09 22:01:56,59.4,Active,system,2025-11-09 12:01:56
6,1561,EcoFire Camping Stove,Camping,Backup,98,28,70,49,94,304,2026-03-09 18:01:56,99.99,Active,system,2026-01-04 12:01:56
7,1571,CozyNights Sleeping Bag,Camping,Backup,426,110,316,82,149,376,2026-03-09 23:01:56,117.31,Excess,system,2025-10-25 12:01:56
8,1511,Alpine Explorer Tent,Camping,Main,1546,164,1382,143,276,1352,2026-03-11 01:01:56,273.5,Excess,system,2025-11-30 12:01:56
9,1511,Alpine Explorer Tent,Camping,Backup,576,0,576,143,276,1352,2026-03-11 01:01:56,273.5,Active,system,2025-11-30 12:01:56
10,1522,SummitClimber Backpack,Camping,Main,729,73,656,176,319,747,2026-03-09 22:01:56,151.77,Active,system,2025-11-15 12:01:56
11,1522,SummitClimber Backpack,Camping,Backup,354,0,354,176,319,747,2026-03-09 22:01:56,151.77,Active,system,2025-11-15 12:01:56
12,1532,TrailBlaze Hiking Pants,Camping,Backup,360,104,256,179,248,621,2026-03-09 16:01:56,60.72,Active,system,2025-12-21 12:01:56
13,1542,TrailWalker Hiking Shoes,Camping,Main,358,37,321,151,210,487,2026-03-11 02:01:56,103.06,Active,system,2025-09-13 12:01:56
14,1542,TrailWalker Hiking Shoes,Camping,Backup,145,0,145,151,210,487,2026-03-11 02:01:56,103.06,Active,system,2025-09-13 12:01:56
15,1552,TrekMaster Camping Chair,Camping,Backup,2,0,2,96,116,436,2026-03-10 19:01:56,59.22,LowStock,system,2025-10-31 12:01:56
16,1562,PowerBurner Camping Stove,Camping,Main,415,91,324,56,85,399,2026-03-10 23:01:56,132.7,Excess,system,2026-01-06 12:01:56
17,1562,PowerBurner Camping Stove,Camping,Backup,130,0,130,56,85,399,2026-03-10 23:01:56,132.7,Active,system,2026-01-06 12:01:56
18,1572,MountainDream Sleeping Bag,Camping,Main,235,33,202,53,67,525,2026-03-11 03:01:56,209.3,Active,system,2025-11-05 12:01:56
19,1572,MountainDream Sleeping Bag,Camping,Backup,111,0,111,53,67,525,2026-03-11 03:01:56,209.3,Active,system,2025-11-05 12:01:56
20,1512,SkyView 2-Person Tent,Camping,Backup,1671,310,1361,127,241,1500,2026-03-09 22:01:56,239.93,Excess,system,2026-01-10 12:01:56
21,1523,TrailLite Daypack,Camping,Backup,766,85,681,188,328,1018,2026-03-11 08:01:56,49.28,Active,system,2025-11-21 12:01:56
22,1533,RainGuard Hiking Jacket,Camping,Regional,766,82,684,128,171,854,2026-03-10 08:01:56,120.56,Active,system,2025-12-21 12:01:56
23,1543,TrekStar Hiking Sandals,Camping,Main,52,6,46,81,99,578,2026-03-10 12:01:56,56.38,LowStock,system,2025-12-24 12:01:56
24,1553,Adventure Dining Table,Camping,Main,226,58,168,101,195,327,2026-03-09 12:01:56,105.83,Active,system,2026-01-27 12:01:56
25,1563,CompactCook Camping Stove,Camping,Main,417,88,329,37,63,381,2026-03-09 22:01:56,73.17,Excess,system,2025-10-29 12:01:56
26,1581,LED Headlamp - Rechargeable,Camping,Regional,51,13,38,33,56,164,2026-03-10 16:01:56,51.5,Active,system,2026-02-02 12:01:56
27,1581,LED Headlamp - Rechargeable,Camping,Backup,10,0,10,33,56,164,2026-03-10 16:01:56,51.5,Active,system,2026-02-02 12:01:56
28,2011,Coffee Maker,Kitchen,Main,229,41,188,251,311,854,2026-03-10 00:01:56,132.61,LowStock,system,2025-11-13 12:01:56
29,2011,Coffee Maker,Kitchen,Backup,93,0,93,251,311,854,2026-03-10 00:01:56,132.61,Active,system,2025-11-13 12:01:56
30,2012,Espresso Machine,Kitchen,Main,1285,165,1120,163,285,1257,2026-03-11 11:01:56,288.68,Excess,system,2025-10-07 12:01:56
31,2021,Chef Knife,Kitchen,Main,67,15,52,162,290,899,2026-03-10 15:01:56,66.11,LowStock,system,2026-01-15 12:01:56
32,2021,Chef Knife,Kitchen,Backup,21,0,21,162,290,899,2026-03-10 15:01:56,66.11,Active,system,2026-01-15 12:01:56
33,2022,Fork Set,Kitchen,Backup,932,178,754,158,265,833,2026-03-10 03:01:56,29.42,Excess,system,2026-01-30 12:01:56
34,2031,Coffee Mug,Kitchen,Backup,9,1,8,158,202,942,2026-03-09 19:01:56,22.68,LowStock,system,2025-10-11 12:01:56
35,2041,Serving Platter,Kitchen,Backup,233,29,204,140,252,1115,2026-03-11 06:01:56,44.69,Active,system,2025-12-25 12:01:56
36,2051,Ice Cream Bowl,Kitchen,Main,226,64,162,85,151,387,2026-03-10 21:01:56,18.47,Active,system,2025-10-11 12:01:56
37,2051,Ice Cream Bowl,Kitchen,Backup,105,0,105,85,151,387,2026-03-10 21:01:56,18.47,Active,system,2025-10-11 12:01:56
38,2061,Mixing Bowl,Kitchen,Main,62,8,54,111,150,491,2026-03-11 06:01:56,31.87,LowStock,system,2025-12-03 12:01:56
39,2071,Baking Pan,Kitchen,Regional,96,28,68,164,248,956,2026-03-09 17:01:56,19.87,LowStock,system,2025-10-21 12:01:56
40,2071,Baking Pan,Kitchen,Backup,32,0,32,164,248,956,2026-03-09 17:01:56,19.87,Active,system,2025-10-21 12:01:56
41,2081,Food Storage Set,Kitchen,Main,114,20,94,84,158,305,2026-03-10 07:01:56,25.71,Active,system,2025-11-28 12:01:56
42,2091,Spatula,Kitchen,Regional,65,13,52,38,70,264,2026-03-10 07:01:56,10.4,Active,system,2025-12-27 12:01:56
43,2091,Spatula,Kitchen,Backup,23,0,23,38,70,264,2026-03-10 07:01:56,10.4,Active,system,2025-12-27 12:01:56
44,2101,Measuring Cup Set,Kitchen,Backup,295,80,215,45,74,352,2026-03-10 23:01:56,15.38,Active,system,2025-12-15 12:01:56
45,2111,High-Speed Blender,Kitchen,Main,125,30,95,34,63,353,2026-03-11 05:01:56,156.57,Active,system,2025-09-26 12:01:56
