TransactionID,ProductID,ProductName,ProductCategory,WarehouseLocation,TransactionType,TransactionDate,Quantity,UnitCost,TotalValue,ReferenceNumber,ReasonCode,StockBefore,StockAfter,ProcessedBy,Notes,CreatedBy,CreatedDate
1,3042,Aluminum All-Mountain Poles - 115cm,Ski,Main,Receipt,2025-04-14 00:00:00,187,65.54,12255.52,PO-5787,Purchase Order Receipt,70,257,warehouse2,Transaction processed for Main location,system,2025-04-14 00:00:00
2,3052,Thermal Base Layer Set - Women's,Ski,Backup,Receipt,2025-05-05 00:00:00,72,116.12,8360.99,PO-1014,Purchase Order Receipt,38,110,warehouse2,Transaction processed for Backup location,system,2025-05-05 00:00:00
3,2111,High-Speed Blender,Kitchen,Backup,Damage,2025-03-09 00:00:00,-2,156.57,-313.14,DMG-3,Warehouse Damage,51,49,warehouse1,Transaction processed for Backup location,system,2025-03-09 00:00:00
4,1542,TrailWalker Hiking Shoes,Camping,Main,Adjustment,2025-07-26 00:00:00,-10,103.06,-1030.6,ADJ-4,Cycle Count,313,303,system,Transaction processed for Main location,system,2025-07-26 00:00:00
5,2121,Bamboo Cutting Board Set,Kitchen,Main,Sale,2025-12-27 00:00:00,-6,35.23,-211.38,SO-40829,Customer Sale,62,56,system,Transaction processed for Main location,system,2025-12-27 00:00:00
6,1562,PowerBurner Camping Stove,Camping,Backup,Transfer,2025-04-20 00:00:00,-37,132.7,-4909.9,TRF-7241,Warehouse Transfer,98,61,warehouse2,Transaction processed for Backup location,system,2025-04-20 00:00:00
7,3022,Backcountry Explorer XC Skis - 190cm,Ski,Main,Receipt,2025-11-21 00:00:00,116,387.14,44908.58,PO-6813,Purchase Order Receipt,42,158,system,Transaction processed for Main location,system,2025-11-21 00:00:00
8,1552,TrekMaster Camping Chair,Camping,Backup,Sale,2026-01-14 00:00:00,-40,59.22,-2368.8,SO-13952,Customer Sale,10,-30,warehouse1,Transaction processed for Backup location,system,2026-01-14 00:00:00
9,1511,Alpine Explorer Tent,Camping,Backup,Receipt,2026-03-30 00:00:00,140,263.35,36869.38,PO-1886,Purchase Order Receipt,602,742,system,Transaction processed for Backup location,system,2026-03-30 00:00:00
10,2071,Baking Pan,Kitchen,Regional,Receipt,2025-10-22 00:00:00,187,19.49,3644.44,PO-4692,Purchase Order Receipt,109,296,warehouse2,Transaction processed for Regional location,system,2025-10-22 00:00:00
11,3042,Aluminum All-Mountain Poles - 115cm,Ski,Main,Transfer,2026-02-06 00:00:00,-37,65.48,-2422.76,TRF-4395,Warehouse Transfer,90,53,warehouse1,Transaction processed for Main location,system,2026-02-06 00:00:00
12,1563,CompactCook Camping Stove,Camping,Main,Sale,2025-09-10 00:00:00,-42,73.17,-3073.14,SO-78048,Customer Sale,353,311,warehouse1,Transaction processed for Main location,system,2025-09-10 00:00:00
13,2091,Spatula,Kitchen,Regional,Sale,2025-09-01 00:00:00,-40,10.4,-416.0,SO-33943,Customer Sale,83,43,warehouse2,Transaction processed for Regional location,system,2025-09-01 00:00:00
14,3021,Nordic Classic XC Skis - 185cm,Ski,Main,Sale,2025-02-23 00:00:00,-10,229.07,-2290.7,SO-54106,Customer Sale,10,0,warehouse2,Transaction processed for Main location,system,2025-02-23 00:00:00
15,2091,Spatula,Kitchen,Backup,Transfer,2025-05-27 00:00:00,-26,10.4,-270.4,TRF-3658,Warehouse Transfer,86,60,system,Transaction processed for Backup location,system,2025-05-27 00:00:00
16,1531,Summit Breeze Jacket,Camping,Main,Receipt,2025-04-01 00:00:00,103,121.43,12506.83,PO-3107,Purchase Order Receipt,809,912,warehouse2,Transaction processed for Main location,system,2025-04-01 00:00:00
17,2051,Ice Cream Bowl,Kitchen,Main,Sale,2025-03-29 00:00:00,-20,18.47,-369.4,SO-11441,Customer Sale,247,227,warehouse2,Transaction processed for Main location,system,2025-03-29 00:00:00
18,1562,PowerBurner Camping Stove,Camping,Backup,Sale,2025-02-02 00:00:00,-46,132.7,-6104.2,SO-67189,Customer Sale,100,54,system,Transaction processed for Backup location,system,2025-02-02 00:00:00
19,1581,LED Headlamp - Rechargeable,Camping,Backup,Transfer,2025-06-07 00:00:00,-25,51.5,-1287.5,TRF-6770,Warehouse Transfer,67,42,system,Transaction processed for Backup location,system,2025-06-07 00:00:00
20,3033,Women's Performance Ski Boots,Ski,Backup,Receipt,2025-01-09 00:00:00,74,410.2,30354.59,PO-3825,Purchase Order Receipt,83,157,warehouse2,Transaction processed for Backup location,system,2025-01-09 00:00:00
21,1522,SummitClimber Backpack,Camping,Backup,Receipt,2025-01-31 00:00:00,77,152.73,11760.42,PO-2071,Purchase Order Receipt,359,436,warehouse1,Transaction processed for Backup location,system,2025-01-31 00:00:00
