ProductSupplierID,ProductID,SupplierID,SupplierProductCode,WholesaleCost,MinOrderQuantity,MaxOrderQuantity,LeadTimeDays,Status,CreatedBy,CreatedDate
1,1521,1,CON-1521,122.8,5,10000.0,13,Active,system,2025-12-21
2,1531,1,CON-1531,91.09,1,10000.0,10,Active,system,2025-11-17
3,1541,1,CON-1541,127.43,5,1000.0,11,Active,system,2025-11-25
4,1541,4,WOR-1541,137.75,1,2000.0,26,Active,system,2025-11-26
5,1551,1,CON-1551,67.04,50,10000.0,12,Active,system,2026-03-22
6,1561,1,CON-1561,82.06,25,5000.0,13,Active,system,2026-01-13
7,1571,1,CON-1571,109.65,50,5000.0,8,Active,system,2026-02-11
8,1511,1,CON-1511,283.37,10,10000.0,8,Active,system,2026-01-25
9,1511,4,WOR-1511,360.55,10,500.0,20,Active,system,2026-01-23
10,1522,1,CON-1522,163.1,10,1000.0,7,Active,system,2026-01-24
11,1532,1,CON-1532,67.64,5,,10,Active,system,2025-12-22
12,1542,1,CON-1542,90.83,1,10000.0,9,Active,system,2025-12-26
13,1552,1,CON-1552,58.45,5,1000.0,10,Active,system,2026-02-03
14,1562,1,CON-1562,121.04,25,1000.0,7,Active,system,2026-03-26
15,1572,1,CON-1572,222.59,1,10000.0,8,Active,system,2025-11-14
16,1512,1,CON-1512,219.21,25,,7,Active,system,2026-01-09
17,1523,1,CON-1523,54.46,10,10000.0,11,Active,system,2026-02-17
18,1533,1,CON-1533,107.2,10,,8,Active,system,2025-11-05
19,1543,1,CON-1543,65.36,5,1000.0,12,Active,system,2025-12-14
20,1553,1,CON-1553,91.38,50,5000.0,12,Active,system,2026-01-22
21,1563,1,CON-1563,70.33,1,,9,Active,system,2025-11-29
22,1581,1,CON-1581,48.56,1,,10,Active,system,2025-11-25
23,2011,2,PRO-2011,118.56,5,5000.0,7,Active,system,2025-12-17
24,2011,4,WOR-2011,130.73,25,,21,Active,system,2025-11-11
25,2012,2,PRO-2012,312.61,10,10000.0,9,Active,system,2025-12-31
26,2021,2,PRO-2021,71.31,10,1000.0,10,Active,system,2026-03-26
27,2022,2,PRO-2022,36.37,5,1000.0,10,Active,system,2026-01-31
28,2031,2,PRO-2031,23.04,5,,8,Active,system,2026-03-21
29,2041,2,PRO-2041,44.39,25,,11,Active,system,2026-03-03
30,2051,2,PRO-2051,16.44,50,1000.0,8,Active,system,2025-12-30
31,2061,2,PRO-2061,25.72,10,,7,Active,system,2025-11-26
32,2071,2,PRO-2071,21.94,5,5000.0,8,Active,system,2025-12-11
33,2081,2,PRO-2081,25.3,5,1000.0,13,Active,system,2026-01-01
34,2091,2,PRO-2091,7.98,1,5000.0,7,Active,system,2025-12-19
35,2101,2,PRO-2101,13.5,10,10000.0,9,Active,system,2025-12-19
36,2111,2,PRO-2111,123.0,1,10000.0,7,Active,system,2026-03-23
37,2111,4,WOR-2111,162.2,25,,20,Active,system,2026-02-09
38,2112,2,PRO-2112,66.6,5,5000.0,9,Active,system,2025-11-24
39,2121,2,PRO-2121,30.0,5,5000.0,11,Active,system,2026-01-06
40,2121,4,WOR-2121,33.23,50,,16,Active,system,2025-12-13
41,3011,3,ALP-3011,1027.27,10,1000.0,10,Active,system,2025-12-07
42,3011,5,FAB-3011,910.08,10,2000.0,19,Active,system,2026-01-02
43,3012,3,ALP-3012,597.44,50,10000.0,15,Active,system,2026-03-20
44,3012,4,WOR-3012,676.38,25,500.0,20,Active,system,2025-12-21
45,3012,5,FAB-3012,703.52,1,,16,Active,system,2026-02-23
