PurchaseOrderID,PurchaseOrderNumber,SupplierID,SupplierName,OrderDate,ExpectedDeliveryDate,ActualDeliveryDate,Status,TotalOrderValue,DeliveryLocation,OrderedBy,Priority,Notes,CreatedBy,CreatedDate
1,PO-2026-0001,2,Proseware Inc,2026-02-08,2026-02-21,2026-02-22,Delivered,1355.92,Backup Warehouse,buyer1,Medium,Order for Kitchen products,system,2026-02-08 11:10:37
2,PO-2026-0002,2,Proseware Inc,2026-02-07,2026-02-15,,InTransit,126.88,Backup Warehouse,supply_manager,Low,Order for Kitchen products,system,2026-02-07 11:10:37
3,PO-2026-0003,1,Contoso Ltd,2026-01-01,2026-01-13,2026-01-14,Delivered,22850.1,Regional DC,supply_manager,Low,Order for Camping products,system,2026-01-01 11:10:37
4,PO-2025-0004,2,Proseware Inc,2025-12-21,2026-01-02,2026-01-03,Delivered,22139.78,Main Warehouse,buyer2,Low,Order for Kitchen products,system,2025-12-21 11:10:37
5,PO-2026-0005,2,Proseware Inc,2026-01-26,2026-02-09,2026-02-18,Delivered,2320.6,Main Warehouse,buyer2,Low,Order for Kitchen products,system,2026-01-26 11:10:37
6,PO-2026-0006,1,Contoso Ltd,2026-01-17,2026-01-25,2026-01-28,Delivered,33162.79,Main Warehouse,buyer2,High,Order for Camping products,system,2026-01-17 11:10:37
7,PO-2026-0007,4,Worldwide Importers,2026-02-13,2026-03-06,2026-03-08,Delivered,23411.42,Main Warehouse,buyer1,Low,Multi-category order,system,2026-02-13 11:10:37
8,PO-2026-0008,4,Worldwide Importers,2026-01-17,2026-02-06,2026-02-08,Delivered,12517.83,Main Warehouse,buyer2,Medium,Multi-category order,system,2026-01-17 11:10:37
9,PO-2026-0009,5,Fabrikam,2026-02-07,2026-02-19,2026-02-21,Delivered,79410.78,Main Warehouse,supply_manager,Medium,Order for Ski products,system,2026-02-07 11:10:37
10,PO-2026-0010,2,Proseware Inc,2026-03-08,2026-03-18,,Confirmed,2980.99,Backup Warehouse,supply_manager,Low,Order for Kitchen products,system,2026-03-08 11:10:37
11,PO-2025-0011,3,Alpine Ski House,2025-12-31,2026-01-17,2026-01-18,Delivered,28195.18,Regional DC,buyer2,Medium,Order for Ski products,system,2025-12-31 11:10:37
12,PO-2026-0012,1,Contoso Ltd,2026-01-14,2026-01-28,2026-01-28,Delivered,18776.93,Regional DC,supply_manager,Low,Order for Camping products,system,2026-01-14 11:10:37
13,PO-2025-0013,1,Contoso Ltd,2025-12-17,2025-12-31,2026-01-03,Delivered,9307.14,Regional DC,buyer2,Low,Order for Camping products,system,2025-12-17 11:10:37
