ForecastID,ProductID,ProductName,ProductCategory,ForecastDate,ForecastPeriod,PredictedDemand,ConfidenceLevel,SeasonalMultiplier,TrendDirection,BaselineDemand,SalesTrendMultiplier,CompoundTrendMultiplier,MethodUsed,ForecastHorizon,ActualDemand,AccuracyScore,CreatedBy,CreatedDate
1,1521,Adventurer Pro Backpack,Camping,2026-05-01,Monthly,15,70.81,1.02,Stable,15,1.02,1.02,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-16 11:10:41
2,1521,Adventurer Pro Backpack,Camping,2026-05-01,Weekly,3,68.27,1.5,Stable,15,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
3,1521,Adventurer Pro Backpack,Camping,2026-05-08,Weekly,3,71.54,1.5,Stable,15,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
4,1521,Adventurer Pro Backpack,Camping,2026-05-15,Weekly,3,71.32,1.5,Stable,15,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
5,1521,Adventurer Pro Backpack,Camping,2026-05-22,Weekly,3,67.92,1.5,Stable,15,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
6,1521,Adventurer Pro Backpack,Camping,2026-06-01,Monthly,15,70.81,1.01,Stable,15,1.02,1.04,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-16 11:10:41
7,1521,Adventurer Pro Backpack,Camping,2026-07-01,Monthly,16,70.81,1.01,Stable,15,1.02,1.061,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-16 11:10:41
8,1531,Summit Breeze Jacket,Camping,2026-05-01,Monthly,11,75.1,1.02,Stable,11,1.02,1.02,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-16 11:10:41
9,1531,Summit Breeze Jacket,Camping,2026-05-01,Weekly,2,72.77,1.5,Stable,11,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
10,1531,Summit Breeze Jacket,Camping,2026-05-08,Weekly,2,71.46,1.5,Stable,11,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
11,1531,Summit Breeze Jacket,Camping,2026-05-15,Weekly,2,70.75,1.5,Stable,11,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
12,1531,Summit Breeze Jacket,Camping,2026-05-22,Weekly,2,77.76,1.5,Stable,11,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
