InventoryID,ProductID,ProductName,ProductCategory,WarehouseLocation,CurrentStock,ReservedStock,AvailableStock,SafetyStockLevel,ReorderPoint,MaxStockLevel,LastUpdated,AverageCost,Status,CreatedBy,CreatedDate
1,1521,Adventurer Pro Backpack,Camping,Main,138,28,110,40,49,227,2026-04-29 19:00:00,115.2,Active,system,2026-01-23 00:00:00
2,1531,Summit Breeze Jacket,Camping,Main,33,3,30,4,7,49,2026-04-29 13:00:00,109.85,Active,system,2025-12-04 00:00:00
3,1541,TrekReady Hiking Boots,Camping,Main,17,1,16,24,45,229,2026-04-28 01:00:00,128.34,LowStock,system,2026-02-14 00:00:00
4,1551,BaseCamp Folding Table,Camping,Main,8,1,7,8,15,48,2026-04-28 00:00:00,70.55,LowStock,system,2026-02-24 00:00:00
5,1551,BaseCamp Folding Table,Camping,Backup,2,0,2,8,15,48,2026-04-28 00:00:00,70.55,Active,system,2026-02-24 00:00:00
6,1561,EcoFire Camping Stove,Camping,Main,24,3,21,15,25,94,2026-04-28 01:00:00,99.22,Active,system,2026-01-16 00:00:00
7,1561,EcoFire Camping Stove,Camping,Backup,5,0,5,15,25,94,2026-04-28 01:00:00,99.22,Active,system,2026-01-16 00:00:00
8,1571,CozyNights Sleeping Bag,Camping,Main,5,1,4,4,6,39,2026-04-28 07:00:00,121.45,Active,system,2025-12-10 00:00:00
9,1511,Alpine Explorer Tent,Camping,Main,54,10,44,8,11,50,2026-04-29 13:00:00,334.12,Excess,system,2025-12-25 00:00:00
10,1522,SummitClimber Backpack,Camping,Main,6,1,5,4,4,29,2026-04-29 18:00:00,135.31,Active,system,2025-10-07 00:00:00
11,1522,SummitClimber Backpack,Camping,Backup,2,0,2,4,4,29,2026-04-29 18:00:00,135.31,Active,system,2025-10-07 00:00:00
12,1532,TrailBlaze Hiking Pants,Camping,Backup,186,20,166,27,39,156,2026-04-28 09:00:00,67.2,Excess,system,2026-01-17 00:00:00
13,1542,TrailWalker Hiking Shoes,Camping,Backup,101,12,89,15,23,102,2026-04-28 08:00:00,90.42,Active,system,2025-12-28 00:00:00
14,1552,TrekMaster Camping Chair,Camping,Backup,21,4,17,15,27,66,2026-04-28 01:00:00,57.36,Active,system,2026-02-07 00:00:00
15,1562,PowerBurner Camping Stove,Camping,Main,48,9,39,26,46,216,2026-04-29 22:00:00,144.87,Active,system,2026-01-11 00:00:00
16,1562,PowerBurner Camping Stove,Camping,Backup,19,0,19,26,46,216,2026-04-29 22:00:00,144.87,Active,system,2026-01-11 00:00:00
17,1572,MountainDream Sleeping Bag,Camping,Main,47,7,40,27,53,178,2026-04-29 10:00:00,229.67,Active,system,2025-12-28 00:00:00
18,1512,SkyView 2-Person Tent,Camping,Main,15,4,11,5,9,24,2026-04-28 20:00:00,239.45,Active,system,2025-12-12 00:00:00
19,1523,TrailLite Daypack,Camping,Main,30,6,24,43,62,219,2026-04-29 14:00:00,59.86,LowStock,system,2026-01-03 00:00:00
20,1523,TrailLite Daypack,Camping,Backup,12,0,12,43,62,219,2026-04-29 14:00:00,59.86,Active,system,2026-01-03 00:00:00
21,1533,RainGuard Hiking Jacket,Camping,Regional,50,8,42,7,12,49,2026-04-29 06:00:00,126.41,Excess,system,2025-11-08 00:00:00
22,1543,TrekStar Hiking Sandals,Camping,Main,64,8,56,35,51,146,2026-04-28 19:00:00,68.46,Active,system,2026-02-22 00:00:00
23,1553,Adventure Dining Table,Camping,Main,28,4,24,8,14,35,2026-04-29 11:00:00,94.57,Active,system,2026-01-15 00:00:00
24,1553,Adventure Dining Table,Camping,Backup,6,0,6,8,14,35,2026-04-29 11:00:00,94.57,Active,system,2026-01-15 00:00:00
25,1563,CompactCook Camping Stove,Camping,Backup,132,15,117,23,40,159,2026-04-28 09:00:00,71.71,Active,system,2026-01-23 00:00:00
26,1581,LED Headlamp - Rechargeable,Camping,Main,101,20,81,26,34,226,2026-04-28 09:00:00,47.08,Active,system,2025-12-02 00:00:00
27,1581,LED Headlamp - Rechargeable,Camping,Backup,31,0,31,26,34,226,2026-04-28 09:00:00,47.08,Active,system,2025-12-02 00:00:00
28,2011,Coffee Maker,Kitchen,Main,19,2,17,9,11,61,2026-04-28 09:00:00,142.65,Active,system,2025-10-06 00:00:00
29,2011,Coffee Maker,Kitchen,Backup,8,0,8,9,11,61,2026-04-28 09:00:00,142.65,Active,system,2025-10-06 00:00:00
30,2012,Espresso Machine,Kitchen,Main,50,12,38,11,21,68,2026-04-29 14:00:00,292.82,Active,system,2025-10-31 00:00:00
