PurchaseOrderItemID,PurchaseOrderID,PurchaseOrderNumber,ProductID,ProductName,ProductCategory,QuantityOrdered,QuantityReceived,UnitCost,LineTotal,Status,ExpectedDate,ReceivedDate,Notes,CreatedBy,CreatedDate
1,1,PO-2026-0001,2111,High-Speed Blender,Kitchen,26,26.0,129.13,3357.38,Received,2026-03-22,2026-03-25,Supplier SKU: PRO-2111,system,2026-03-11 00:00:00
2,1,PO-2026-0001,2021,Chef Knife,Kitchen,216,216.0,57.11,12335.76,Received,2026-03-22,2026-03-25,Supplier SKU: PRO-2021,system,2026-03-11 00:00:00
3,1,PO-2026-0001,2011,Coffee Maker,Kitchen,5,5.0,115.89,579.45,Received,2026-03-22,2026-03-25,Supplier SKU: PRO-2011,system,2026-03-11 00:00:00
4,2,PO-2026-0002,2071,Baking Pan,Kitchen,22,22.0,21.87,481.14,Received,2026-03-30,2026-04-09,Supplier SKU: PRO-2071,system,2026-03-16 00:00:00
5,5,PO-2026-0005,3053,Waterproof Ski Pants,Ski,4,4.0,167.9,671.6,Received,2026-03-11,2026-03-13,Supplier SKU: WOR-3053,system,2026-02-14 00:00:00
6,5,PO-2026-0005,3091,Freestyle Snowboard - 155cm,Ski,2,2.0,441.63,883.26,Received,2026-03-11,2026-03-13,Supplier SKU: WOR-3091,system,2026-02-14 00:00:00
7,6,PO-2026-0006,2031,Coffee Mug,Kitchen,5,5.0,23.79,118.95,Received,2026-03-23,2026-03-26,Supplier SKU: PRO-2031,system,2026-03-10 00:00:00
8,7,PO-2026-0007,1512,SkyView 2-Person Tent,Camping,45,45.0,216.3,9733.5,Received,2026-04-08,2026-04-10,Supplier SKU: WOR-1512,system,2026-03-16 00:00:00
9,7,PO-2026-0007,2101,Measuring Cup Set,Kitchen,13,13.0,16.75,217.75,Received,2026-04-08,2026-04-10,Supplier SKU: WOR-2101,system,2026-03-16 00:00:00
10,7,PO-2026-0007,2031,Coffee Mug,Kitchen,17,17.0,21.48,365.16,Received,2026-04-08,2026-04-10,Supplier SKU: WOR-2031,system,2026-03-16 00:00:00
11,7,PO-2026-0007,3091,Freestyle Snowboard - 155cm,Ski,3,2.0,441.63,1324.89,Backordered,2026-04-08,2026-04-10,Supplier SKU: WOR-3091,system,2026-03-16 00:00:00
12,7,PO-2026-0007,3041,Carbon Fiber Racing Poles - 120cm,Ski,183,183.0,149.92,27435.36,Received,2026-04-08,2026-04-10,Supplier SKU: WOR-3041,system,2026-03-16 00:00:00
13,8,PO-2026-0008,1522,SummitClimber Backpack,Camping,28,28.0,175.0,4900.0,Received,2026-02-23,2026-02-24,Supplier SKU: CON-1522,system,2026-02-14 00:00:00
14,8,PO-2026-0008,1581,LED Headlamp - Rechargeable,Camping,16,16.0,55.96,895.36,Received,2026-02-23,2026-02-24,Supplier SKU: CON-1581,system,2026-02-14 00:00:00
15,8,PO-2026-0008,1541,TrekReady Hiking Boots,Camping,3,3.0,130.33,390.99,Received,2026-02-23,2026-02-24,Supplier SKU: CON-1541,system,2026-02-14 00:00:00
16,8,PO-2026-0008,1521,Adventurer Pro Backpack,Camping,2,2.0,130.33,260.66,Received,2026-02-23,2026-02-24,Supplier SKU: CON-1521,system,2026-02-14 00:00:00
17,10,PO-2026-0010,2101,Measuring Cup Set,Kitchen,47,47.0,16.75,787.25,Received,2026-03-25,2026-03-28,Supplier SKU: WOR-2101,system,2026-02-28 00:00:00
18,10,PO-2026-0010,2031,Coffee Mug,Kitchen,28,28.0,21.48,601.44,Received,2026-03-25,2026-03-28,Supplier SKU: WOR-2031,system,2026-02-28 00:00:00
19,10,PO-2026-0010,3041,Carbon Fiber Racing Poles - 120cm,Ski,175,175.0,149.92,26236.0,Received,2026-03-25,2026-03-28,Supplier SKU: WOR-3041,system,2026-02-28 00:00:00
20,10,PO-2026-0010,3091,Freestyle Snowboard - 155cm,Ski,2,2.0,441.63,883.26,Received,2026-03-25,2026-03-28,Supplier SKU: WOR-3091,system,2026-02-28 00:00:00
21,10,PO-2026-0010,1512,SkyView 2-Person Tent,Camping,37,37.0,216.3,8003.1,Received,2026-03-25,2026-03-28,Supplier SKU: WOR-1512,system,2026-02-28 00:00:00
22,11,PO-2026-0011,3053,Waterproof Ski Pants,Ski,1,1.0,167.9,167.9,Received,2026-04-03,2026-04-04,Supplier SKU: WOR-3053,system,2026-03-09 00:00:00
23,12,PO-2026-0012,3031,Pro Flex Racing Ski Boots,Ski,6,6.0,400.29,2401.74,Received,2026-04-24,2026-04-24,Supplier SKU: ALP-3031,system,2026-04-12 00:00:00
24,12,PO-2026-0012,3032,Comfort Fit Recreational Boots,Ski,44,44.0,247.7,10898.8,Received,2026-04-24,2026-04-24,Supplier SKU: ALP-3032,system,2026-04-12 00:00:00
25,12,PO-2026-0012,3022,Backcountry Explorer XC Skis - 190cm,Ski,28,28.0,385.22,10786.16,Received,2026-04-24,2026-04-24,Supplier SKU: ALP-3022,system,2026-04-12 00:00:00
26,12,PO-2026-0012,3092,All-Mountain Snowboard - 158cm,Ski,33,33.0,554.59,18301.47,Received,2026-04-24,2026-04-24,Supplier SKU: ALP-3092,system,2026-04-12 00:00:00
27,13,PO-2026-0013,2101,Measuring Cup Set,Kitchen,21,14.0,16.75,351.75,Backordered,2026-03-29,2026-03-31,Supplier SKU: WOR-2101,system,2026-03-06 00:00:00
28,13,PO-2026-0013,1522,SummitClimber Backpack,Camping,169,135.0,186.9,31586.1,Backordered,2026-03-29,2026-03-31,Supplier SKU: WOR-1522,system,2026-03-06 00:00:00
29,13,PO-2026-0013,1542,TrailWalker Hiking Shoes,Camping,3,2.0,92.28,276.84,Backordered,2026-03-29,2026-03-31,Supplier SKU: WOR-1542,system,2026-03-06 00:00:00
