ProductSupplierID,ProductID,ProductName,SupplierID,SupplierProductCode,WholesaleCost,MinOrderQuantity,MaxOrderQuantity,LeadTimeDays,Status,CreatedBy,CreatedDate
1,1521,Adventurer Pro Backpack,1,CON-1521,122.8,5,10000.0,13,Active,system,2025-12-21
2,1531,Summit Breeze Jacket,1,CON-1531,91.09,1,10000.0,10,Active,system,2025-11-17
3,1541,TrekReady Hiking Boots,1,CON-1541,101.5,1,10000.0,8,Active,system,2025-11-02
4,1551,Adventure Daypack,1,CON-1551,56.55,3,10000.0,12,Active,system,2026-01-01
5,1561,Trail Explorer Hat,1,CON-1561,19.32,5,10000.0,5,Active,system,2025-11-28
6,1571,Wilderness Water Bottle,1,CON-1571,18.72,10,10000.0,9,Active,system,2025-12-31
7,1581,Survival Compass,1,CON-1581,27.36,3,10000.0,7,Active,system,2025-11-10
8,1591,Outdoor Flashlight,1,CON-1591,47.13,2,10000.0,11,Active,system,2025-12-16
9,1601,Camping Chair,1,CON-1601,84.24,1,10000.0,14,Active,system,2025-11-09
10,1611,Portable Tent,1,CON-1611,164.34,1,10000.0,6,Active,system,2025-11-21
11,1621,Nature Binoculars,1,CON-1621,136.95,1,10000.0,15,Active,system,2025-11-15
12,1631,Trail Mix Snacks,1,CON-1631,7.98,12,10000.0,4,Active,system,2025-12-08
13,1641,Adventure Map,1,CON-1641,13.44,8,10000.0,3,Active,system,2025-12-11
14,1651,Camping Stove,1,CON-1651,86.85,1,10000.0,10,Active,system,2025-11-03
15,1661,Sleeping Bag,1,CON-1661,112.59,1,10000.0,16,Active,system,2026-01-05
16,1671,Hiking Poles,1,CON-1671,68.94,2,10000.0,9,Active,system,2025-12-29
17,1681,Emergency Whistle,1,CON-1681,8.58,10,10000.0,2,Active,system,2025-11-26
18,1691,Outdoor Cooler,1,CON-1691,97.35,1,10000.0,13,Active,system,2025-12-04
19,1701,Insect Repellent,1,CON-1701,12.54,6,10000.0,5,Active,system,2025-12-18
20,1711,Portable Grill,1,CON-1711,139.32,1,10000.0,12,Active,system,2025-11-19
21,2522,Pro Chef Knife Set,2,PRO-2522,97.5,1,10000.0,7,Active,system,2025-12-09
22,2532,Silicone Baking Mats,2,PRO-2532,23.4,5,10000.0,5,Active,system,2025-11-14
23,2542,Digital Kitchen Scale,2,PRO-2542,35.1,3,10000.0,6,Active,system,2025-12-24
24,2552,Measuring Cup Set,2,PRO-2552,19.5,8,10000.0,4,Active,system,2025-11-27
25,2562,Stainless Mixing Bowls,2,PRO-2562,46.8,2,10000.0,8,Active,system,2025-12-13
26,2572,Non-stick Frying Pan,2,PRO-2572,58.5,1,10000.0,9,Active,system,2025-11-06
27,2582,Cast Iron Dutch Oven,2,PRO-2582,78.0,1,10000.0,10,Active,system,2025-12-02
28,2592,Electric Stand Mixer,2,PRO-2592,234.0,1,10000.0,12,Active,system,2025-11-22
29,2602,Food Processor,2,PRO-2602,156.0,1,10000.0,11,Active,system,2025-12-07
30,2612,Instant-read Thermometer,2,PRO-2612,24.6,4,10000.0,3,Active,system,2025-11-18
31,2622,Spice Rack Organizer,2,PRO-2622,39.0,2,10000.0,7,Active,system,2025-12-26
32,2632,Bamboo Cutting Board,2,PRO-2632,31.2,3,10000.0,5,Active,system,2025-11-12
33,2642,Kitchen Timer Set,2,PRO-2642,15.6,6,10000.0,4,Active,system,2025-12-20
34,2652,Silicone Spatula Set,2,PRO-2652,18.9,7,10000.0,6,Active,system,2025-11-08
35,2662,Glass Storage Containers,2,PRO-2662,52.0,2,10000.0,8,Active,system,2025-12-01
36,2672,Coffee Bean Grinder,2,PRO-2672,67.2,1,10000.0,9,Active,system,2025-11-25
37,2682,Kitchen Towel Set,2,PRO-2682,22.1,4,10000.0,2,Active,system,2025-12-15
38,2692,Vegetable Steamer,2,PRO-2692,28.6,3,10000.0,7,Active,system,2025-11-04
39,2702,Oil Dispenser Bottle,2,PRO-2702,14.3,8,10000.0,3,Active,system,2025-12-22
40,2712,Cookbook Stand,2,PRO-2712,33.8,2,10000.0,5,Active,system,2025-11-16
41,3523,Alpine Snow Skis,3,WIN-3523,292.5,1,10000.0,14,Active,system,2025-12-05
42,3533,Ski Boot Collection,3,WIN-3533,195.0,1,10000.0,12,Active,system,2025-11-20
43,3543,Pro Ski Poles,3,WIN-3543,78.0,2,10000.0,10,Active,system,2025-12-28
44,3553,Snow Helmet,3,WIN-3553,117.0,1,10000.0,8,Active,system,2025-11-07
45,3563,Ski Goggles,3,WIN-3563,58.5,2,10000.0,6,Active,system,2025-12-12
46,3573,Thermal Base Layers,3,WIN-3573,46.8,3,10000.0,7,Active,system,2025-11-13
47,3583,Insulated Ski Gloves,3,WIN-3583,39.0,4,10000.0,5,Active,system,2025-12-25
48,3593,Ski Wax Kit,3,WIN-3593,23.4,5,10000.0,3,Active,system,2025-11-11
49,3603,Skiing Ensemble,3,WIN-3603,156.0,1,10000.0,11,Active,system,2025-12-03
50,3613,Après-ski Boots,3,WIN-3613,97.5,1,10000.0,9,Active,system,2025-11-24
51,3623,Snow Tube,3,WIN-3623,31.2,2,10000.0,4,Active,system,2025-12-19
52,3633,Ice Scraper,3,WIN-3633,12.48,8,10000.0,2,Active,system,2025-11-17
53,3643,Ski Rack,3,WIN-3643,67.6,1,10000.0,8,Active,system,2025-12-14
54,3653,Snow Shovel,3,WIN-3653,43.68,2,10000.0,6,Active,system,2025-11-05
55,3663,Winter Beanie,3,WIN-3663,21.06,6,10000.0,4,Active,system,2025-12-27
56,3673,Hand Warmers,3,WIN-3673,9.36,10,10000.0,3,Active,system,2025-11-23
57,3683,Thermal Socks,3,WIN-3683,18.72,7,10000.0,5,Active,system,2025-12-10
58,3693,Ski Bag,3,WIN-3693,54.6,1,10000.0,9,Active,system,2025-11-01
