InventoryID,ProductID,ProductName,WarehouseID,CurrentStock,ReservedStock,AvailableStock,SafetyStockLevel,ReorderPoint,MaxStockLevel,LastUpdated,AverageCost,Status,CreatedBy,CreatedDate
1,1521,Adventurer Pro Backpack,WH_200,750,160,590,115,199,1025,2026-04-28,121.78,Active,system,2026-03-23
2,1531,Summit Breeze Jacket,WH_100,346,87,259,129,238,719,2026-04-29,90.41,Active,system,2025-11-30
3,1531,Summit Breeze Jacket,WH_200,121,0,121,129,238,719,2026-04-29,90.41,Active,system,2025-11-30
4,1541,TrekReady Hiking Boots,WH_100,525,95,430,158,231,524,2026-04-29,100.74,Excess,system,2026-02-20
5,1551,BaseCamp Folding Table,WH_500,277,72,205,45,61,246,2026-04-28,56.14,Excess,system,2025-10-14
6,1561,EcoFire Camping Stove,WH_200,146,38,108,30,51,219,2026-04-29,19.18,Active,system,2025-12-26
7,1561,EcoFire Camping Stove,WH_200,72,0,72,30,51,219,2026-04-29,19.18,Active,system,2025-12-26
8,1571,CozyNights Sleeping Bag,WH_100,102,26,76,73,119,682,2026-04-29,18.72,Active,system,2026-02-09
9,1511,Alpine Explorer Tent,WH_200,1501,337,1164,164,304,1302,2026-04-29,320.4,Excess,system,2025-09-02
10,1522,SummitClimber Backpack,WH_500,534,56,478,171,245,978,2026-04-29,148.7,Active,system,2025-12-30
11,1532,TrailBlaze Hiking Pants,WH_100,401,48,353,159,257,960,2026-04-28,65.22,Active,system,2025-09-05
12,1542,TrailWalker Hiking Shoes,WH_200,108,23,85,115,206,702,2026-04-29,92.42,LowStock,system,2025-07-10
13,1542,TrailWalker Hiking Shoes,WH_200,22,0,22,115,206,702,2026-04-29,92.42,Active,system,2025-07-10
14,1552,TrekMaster Camping Chair,WH_100,300,60,240,55,88,284,2026-04-28,51.85,Excess,system,2025-08-17
15,1552,TrekMaster Camping Chair,WH_200,98,0,98,55,88,284,2026-04-28,51.85,Active,system,2025-08-17
