ForecastID,ProductID,ProductName,ForecastDate,ForecastPeriod,PredictedDemand,ConfidenceLevel,SeasonalMultiplier,TrendDirection,BaselineDemand,SalesTrendMultiplier,CompoundTrendMultiplier,MethodUsed,ForecastHorizon,ActualDemand,AccuracyScore,CreatedBy,CreatedDate
1,1521,Adventurer Pro Backpack,2026-05-01,Monthly,198,76.39,1.0,Growing,184,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-13
2,1521,Adventurer Pro Backpack,2026-05-01,Weekly,46,75.13,1.0,Growing,184,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-04
3,1521,Adventurer Pro Backpack,2026-05-08,Weekly,46,72.41,1.0,Growing,184,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-22
4,1521,Adventurer Pro Backpack,2026-05-15,Weekly,46,81.03,1.0,Growing,184,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-18
5,1521,Adventurer Pro Backpack,2026-05-22,Weekly,46,75.71,1.0,Growing,184,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-21
6,1521,Adventurer Pro Backpack,2026-06-01,Monthly,214,76.39,1.0,Growing,184,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-04-29
7,1521,Adventurer Pro Backpack,2026-07-01,Monthly,231,76.39,1.0,Growing,184,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-04-08
8,1531,Summit Breeze Jacket,2026-05-01,Monthly,227,85.02,1.0,Growing,211,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-05
9,1531,Summit Breeze Jacket,2026-05-01,Weekly,52,82.67,1.0,Growing,211,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-29
10,1531,Summit Breeze Jacket,2026-05-08,Weekly,52,81.82,1.0,Growing,211,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-03
11,1531,Summit Breeze Jacket,2026-05-15,Weekly,52,89.79,1.0,Growing,211,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-27
12,1531,Summit Breeze Jacket,2026-05-22,Weekly,52,89.1,1.0,Growing,211,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-05
13,1531,Summit Breeze Jacket,2026-06-01,Monthly,246,85.02,1.0,Growing,211,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-04-26
14,1531,Summit Breeze Jacket,2026-07-01,Monthly,265,85.02,1.0,Growing,211,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-04-18
15,1541,TrekReady Hiking Boots,2026-05-01,Monthly,171,90.46,1.0,Growing,159,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-18
16,1541,TrekReady Hiking Boots,2026-05-01,Weekly,39,86.42,1.0,Growing,159,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-15
17,1541,TrekReady Hiking Boots,2026-05-08,Weekly,39,87.55,1.0,Growing,159,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-28
18,1541,TrekReady Hiking Boots,2026-05-15,Weekly,39,94.33,1.0,Growing,159,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-03-31
19,1541,TrekReady Hiking Boots,2026-05-22,Weekly,39,90.61,1.0,Growing,159,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-08
20,1541,TrekReady Hiking Boots,2026-06-01,Monthly,185,90.46,1.0,Growing,159,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-04-05
21,1541,TrekReady Hiking Boots,2026-07-01,Monthly,200,90.46,1.0,Growing,159,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-04-20
22,1551,BaseCamp Folding Table,2026-05-01,Monthly,77,76.42,1.0,Growing,72,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-17
23,1551,BaseCamp Folding Table,2026-05-01,Weekly,17,77.95,1.0,Growing,72,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-20
24,1551,BaseCamp Folding Table,2026-05-08,Weekly,17,73.28,1.0,Growing,72,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-09
25,1551,BaseCamp Folding Table,2026-05-15,Weekly,17,76.59,1.0,Growing,72,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-19
26,1551,BaseCamp Folding Table,2026-05-22,Weekly,17,78.12,1.0,Growing,72,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-03
27,1551,BaseCamp Folding Table,2026-06-01,Monthly,83,76.42,1.0,Growing,72,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-04-05
28,1551,BaseCamp Folding Table,2026-07-01,Monthly,90,76.42,1.0,Growing,72,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-04-12
29,1561,EcoFire Camping Stove,2026-05-01,Monthly,55,89.88,1.0,Growing,51,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-22
30,1561,EcoFire Camping Stove,2026-05-01,Weekly,12,86.59,1.0,Growing,51,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-15
31,1561,EcoFire Camping Stove,2026-05-08,Weekly,12,87.25,1.0,Growing,51,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-05
32,1561,EcoFire Camping Stove,2026-05-15,Weekly,12,94.61,1.0,Growing,51,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-28
33,1561,EcoFire Camping Stove,2026-05-22,Weekly,12,94.57,1.0,Growing,51,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-21
34,1561,EcoFire Camping Stove,2026-06-01,Monthly,59,89.88,1.0,Growing,51,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-04-19
35,1561,EcoFire Camping Stove,2026-07-01,Monthly,64,89.88,1.0,Growing,51,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-04-25
