ProductSupplierID,ProductID,ProductName,ProductCategory,SupplierID,SupplierName,SupplierProductCode,WholesaleCost,MinOrderQuantity,MaxOrderQuantity,LeadTimeDays,Status,CreatedBy,CreatedDate
1,1521,Adventurer Pro Backpack,Camping,1,Contoso Ltd,CON-1521,141.81,1,1000.0,9,Active,system,2026-03-01
2,1521,Adventurer Pro Backpack,Camping,4,Worldwide Importers,WOR-1521,141.73,1,5000.0,26,Active,system,2026-01-07
3,1531,Summit Breeze Jacket,Camping,1,Contoso Ltd,CON-1531,109.69,10,,7,Active,system,2025-11-11
4,1541,TrekReady Hiking Boots,Camping,1,Contoso Ltd,CON-1541,115.06,10,5000.0,10,Active,system,2026-01-17
5,1551,BaseCamp Folding Table,Camping,1,Contoso Ltd,CON-1551,71.24,25,5000.0,11,Active,system,2026-02-22
6,1561,EcoFire Camping Stove,Camping,1,Contoso Ltd,CON-1561,92.8,1,1000.0,7,Active,system,2026-02-08
7,1571,CozyNights Sleeping Bag,Camping,1,Contoso Ltd,CON-1571,100.42,50,,8,Active,system,2025-12-18
8,1511,Alpine Explorer Tent,Camping,1,Contoso Ltd,CON-1511,277.08,10,10000.0,10,Active,system,2025-12-23
9,1522,SummitClimber Backpack,Camping,1,Contoso Ltd,CON-1522,157.63,50,,10,Active,system,2025-12-14
10,1532,TrailBlaze Hiking Pants,Camping,1,Contoso Ltd,CON-1532,66.31,25,,13,Active,system,2025-12-06
11,1542,TrailWalker Hiking Shoes,Camping,1,Contoso Ltd,CON-1542,93.24,5,10000.0,11,Active,system,2026-02-02
12,1552,TrekMaster Camping Chair,Camping,1,Contoso Ltd,CON-1552,45.84,5,1000.0,9,Active,system,2025-11-22
13,1562,PowerBurner Camping Stove,Camping,1,Contoso Ltd,CON-1562,114.92,25,10000.0,9,Active,system,2026-02-15
14,1572,MountainDream Sleeping Bag,Camping,1,Contoso Ltd,CON-1572,224.28,5,,8,Active,system,2026-03-28
15,1512,SkyView 2-Person Tent,Camping,1,Contoso Ltd,CON-1512,250.63,1,1000.0,7,Active,system,2026-02-26
16,1523,TrailLite Daypack,Camping,1,Contoso Ltd,CON-1523,58.33,1,,12,Active,system,2025-12-19
17,1533,RainGuard Hiking Jacket,Camping,1,Contoso Ltd,CON-1533,120.2,5,1000.0,13,Active,system,2026-01-11
18,1543,TrekStar Hiking Sandals,Camping,1,Contoso Ltd,CON-1543,54.04,10,5000.0,12,Active,system,2026-03-13
19,1553,Adventure Dining Table,Camping,1,Contoso Ltd,CON-1553,105.69,1,10000.0,13,Active,system,2026-02-10
20,1563,CompactCook Camping Stove,Camping,1,Contoso Ltd,CON-1563,66.21,25,1000.0,10,Active,system,2025-11-13
21,1581,LED Headlamp - Rechargeable,Camping,1,Contoso Ltd,CON-1581,56.14,1,,8,Active,system,2026-02-03
22,1581,LED Headlamp - Rechargeable,Camping,4,Worldwide Importers,WOR-1581,60.08,25,5000.0,19,Active,system,2026-03-29
23,2011,Coffee Maker,Kitchen,2,Proseware Inc,PRO-2011,146.13,5,5000.0,12,Active,system,2026-03-05
24,2011,Coffee Maker,Kitchen,4,Worldwide Importers,WOR-2011,153.27,25,,21,Active,system,2026-01-29
25,2012,Espresso Machine,Kitchen,2,Proseware Inc,PRO-2012,259.16,50,5000.0,13,Active,system,2025-12-11
26,2021,Chef Knife,Kitchen,2,Proseware Inc,PRO-2021,63.81,25,5000.0,8,Active,system,2025-12-22
27,2022,Fork Set,Kitchen,2,Proseware Inc,PRO-2022,33.94,1,10000.0,9,Active,system,2025-11-05
28,2031,Coffee Mug,Kitchen,2,Proseware Inc,PRO-2031,22.13,5,10000.0,8,Active,system,2025-12-09
29,2031,Coffee Mug,Kitchen,4,Worldwide Importers,WOR-2031,22.03,1,500.0,22,Active,system,2025-11-05
30,2041,Serving Platter,Kitchen,2,Proseware Inc,PRO-2041,48.12,5,1000.0,11,Active,system,2025-12-02
31,2051,Ice Cream Bowl,Kitchen,2,Proseware Inc,PRO-2051,16.83,25,1000.0,11,Active,system,2026-01-18
32,2061,Mixing Bowl,Kitchen,2,Proseware Inc,PRO-2061,24.75,50,1000.0,7,Active,system,2026-01-24
33,2071,Baking Pan,Kitchen,2,Proseware Inc,PRO-2071,22.17,5,10000.0,10,Active,system,2026-01-06
34,2071,Baking Pan,Kitchen,4,Worldwide Importers,WOR-2071,20.7,25,,20,Active,system,2025-11-05
35,2081,Food Storage Set,Kitchen,2,Proseware Inc,PRO-2081,26.98,10,,7,Active,system,2026-03-01
36,2091,Spatula,Kitchen,2,Proseware Inc,PRO-2091,8.81,25,1000.0,11,Active,system,2026-02-01
37,2101,Measuring Cup Set,Kitchen,2,Proseware Inc,PRO-2101,13.75,50,5000.0,10,Active,system,2025-11-19
38,2111,High-Speed Blender,Kitchen,2,Proseware Inc,PRO-2111,131.0,25,5000.0,8,Active,system,2025-12-23
39,2112,4-Slice Toaster,Kitchen,2,Proseware Inc,PRO-2112,66.91,10,10000.0,7,Active,system,2026-02-27
40,2121,Bamboo Cutting Board Set,Kitchen,2,Proseware Inc,PRO-2121,34.97,50,5000.0,11,Active,system,2025-11-04
41,2121,Bamboo Cutting Board Set,Kitchen,4,Worldwide Importers,WOR-2121,38.64,1,5000.0,23,Active,system,2025-12-31
42,3011,Alpine Pro Racing Skis - 170cm,Ski,3,Alpine Ski House,ALP-3011,797.04,50,10000.0,15,Active,system,2025-12-16
43,3012,Mountain Master All-Terrain Skis - 165cm,Ski,3,Alpine Ski House,ALP-3012,706.47,5,,15,Active,system,2026-03-01
44,3013,Beginner's Choice Alpine Skis - 160cm,Ski,3,Alpine Ski House,ALP-3013,298.11,10,5000.0,15,Active,system,2025-12-10
45,3013,Beginner's Choice Alpine Skis - 160cm,Ski,4,Worldwide Importers,WOR-3013,354.99,10,5000.0,20,Active,system,2026-02-27
46,3021,Nordic Classic XC Skis - 185cm,Ski,3,Alpine Ski House,ALP-3021,248.83,1,10000.0,11,Active,system,2025-11-18
47,3022,Backcountry Explorer XC Skis - 190cm,Ski,3,Alpine Ski House,ALP-3022,407.33,1,5000.0,15,Active,system,2025-11-27
48,3031,Pro Flex Racing Ski Boots,Ski,3,Alpine Ski House,ALP-3031,390.87,50,5000.0,12,Active,system,2026-03-27
49,3031,Pro Flex Racing Ski Boots,Ski,5,Fabrikam,FAB-3031,503.45,25,5000.0,11,Active,system,2025-11-05
50,3032,Comfort Fit Recreational Boots,Ski,3,Alpine Ski House,ALP-3032,276.7,25,10000.0,9,Active,system,2025-12-21
51,3033,Women's Performance Ski Boots,Ski,3,Alpine Ski House,ALP-3033,368.32,10,1000.0,14,Active,system,2026-03-06
52,3033,Women's Performance Ski Boots,Ski,5,Fabrikam,FAB-3033,491.76,50,500.0,14,Active,system,2025-11-14
53,3041,Carbon Fiber Racing Poles - 120cm,Ski,3,Alpine Ski House,ALP-3041,138.41,5,,9,Active,system,2026-02-03
54,3042,Aluminum All-Mountain Poles - 115cm,Ski,3,Alpine Ski House,ALP-3042,76.23,25,1000.0,9,Active,system,2025-11-14
55,3051,Insulated Ski Jacket - Men's,Ski,3,Alpine Ski House,ALP-3051,239.91,50,10000.0,10,Active,system,2026-02-14
56,3052,Thermal Base Layer Set - Women's,Ski,3,Alpine Ski House,ALP-3052,107.82,1,5000.0,14,Active,system,2026-02-28
57,3053,Waterproof Ski Pants,Ski,3,Alpine Ski House,ALP-3053,165.25,5,,15,Active,system,2026-01-08
58,3061,Professional Ski Helmet,Ski,3,Alpine Ski House,ALP-3061,134.61,50,5000.0,11,Active,system,2026-01-23
59,3061,Professional Ski Helmet,Ski,4,Worldwide Importers,WOR-3061,136.76,1,500.0,26,Active,system,2025-11-30
60,3062,Anti-Fog Ski Goggles,Ski,3,Alpine Ski House,ALP-3062,79.52,1,,9,Active,system,2025-11-23
61,3062,Anti-Fog Ski Goggles,Ski,5,Fabrikam,FAB-3062,107.4,25,2000.0,11,Active,system,2026-02-14
62,3071,Ski Boot Bag - Premium,Ski,3,Alpine Ski House,ALP-3071,47.3,50,1000.0,15,Active,system,2026-03-01
63,3072,Hand Warmers - 10 Pack,Ski,3,Alpine Ski House,ALP-3072,11.54,5,10000.0,13,Active,system,2026-02-17
64,3081,All-Temp Ski Wax Kit,Ski,3,Alpine Ski House,ALP-3081,51.58,25,1000.0,15,Active,system,2026-02-25
65,3082,Edge Tuning Tool Set,Ski,3,Alpine Ski House,ALP-3082,79.77,25,10000.0,10,Active,system,2025-12-07
66,3091,Freestyle Snowboard - 155cm,Ski,3,Alpine Ski House,ALP-3091,486.8,25,1000.0,15,Active,system,2026-01-25
67,3092,All-Mountain Snowboard - 158cm,Ski,3,Alpine Ski House,ALP-3092,524.02,10,10000.0,15,Active,system,2025-12-08
68,3101,Winter Boots - Insulated,Ski,3,Alpine Ski House,ALP-3101,98.25,1,1000.0,15,Active,system,2026-03-29
69,3101,Winter Boots - Insulated,Ski,4,Worldwide Importers,WOR-3101,125.93,50,5000.0,16,Active,system,2025-11-15
70,3102,Winter Hiking Boots - Waterproof,Ski,3,Alpine Ski House,ALP-3102,168.19,50,10000.0,10,Active,system,2025-11-03
71,3102,Winter Hiking Boots - Waterproof,Ski,4,Worldwide Importers,WOR-3102,171.18,1,500.0,26,Active,system,2026-02-05
72,3103,Snowboard Bindings - Pro,Ski,3,Alpine Ski House,ALP-3103,204.45,50,,15,Active,system,2026-02-02
73,3103,Snowboard Bindings - Pro,Ski,5,Fabrikam,FAB-3103,201.54,10,,9,Active,system,2025-11-24
74,3104,Ski Tuning Bench - Portable,Ski,3,Alpine Ski House,ALP-3104,134.79,10,1000.0,14,Active,system,2026-01-07
75,3104,Ski Tuning Bench - Portable,Ski,5,Fabrikam,FAB-3104,159.08,25,500.0,13,Active,system,2026-03-27
