InvoiceId,InvoiceNumber,CustomerId,OrderId,InvoiceDate,DueDate,SubTotal,TaxAmount,TotalAmount,InvoiceStatus,CreatedBy
INV-159f3b01-5537-4595-9837-123a5817c3fa,IS300000,CID-001,159f3b01-5537-4595-9837-123a5817c3fa,2024-12-07,2025-01-06,649.99,56.87,706.86,Paid,SampleGen
INV-9f470d73-1a98-41c7-977d-56bdc23e9462,IS300001,CID-001,9f470d73-1a98-41c7-977d-56bdc23e9462,2024-12-10,2025-01-09,1499.96,131.25,1631.21,Paid,SampleGen
INV-ee7f74cc-8fe2-44f4-b826-42a8ec4f8d1e,IS300002,CID-001,ee7f74cc-8fe2-44f4-b826-42a8ec4f8d1e,2023-10-26,2023-11-25,1299.98,113.75,1413.73,Paid,SampleGen
INV-33730f56-58f2-4e3c-9eb2-d9374716e783,IS300003,CID-001,33730f56-58f2-4e3c-9eb2-d9374716e783,2022-06-16,2022-07-16,649.99,56.87,706.86,Paid,SampleGen
INV-052a57a7-b9bf-4f51-8c1e-d9250510dd52,IS300004,CID-001,052a57a7-b9bf-4f51-8c1e-d9250510dd52,2023-05-28,2023-06-27,1869.95,163.62,2033.57,Paid,SampleGen
INV-3066d3fd-83e5-4e45-a18b-ad21ddfade5b,IS300005,CID-001,3066d3fd-83e5-4e45-a18b-ad21ddfade5b,2024-06-15,2024-07-15,569.97,49.87,619.84,Paid,SampleGen
INV-2063fbd2-53c1-4590-883f-b5031ca8d3fe,IS300006,CID-001,2063fbd2-53c1-4590-883f-b5031ca8d3fe,2025-07-25,2025-08-24,1059.95,92.75,1152.7,Paid,SampleGen
INV-a99cba18-de9b-4c66-983e-cafca4c6f24f,IS300007,CID-002,a99cba18-de9b-4c66-983e-cafca4c6f24f,2023-06-02,2023-07-02,1569.96,137.37,1707.33,Paid,SampleGen
INV-c6241194-3d10-48d0-91ac-edd8c7837e21,IS300008,CID-002,c6241194-3d10-48d0-91ac-edd8c7837e21,2021-03-23,2021-04-22,3759.96,329.0,4088.96,Paid,SampleGen
INV-cf38b2c4-e838-4247-b316-b4644619d08c,IS300009,CID-003,cf38b2c4-e838-4247-b316-b4644619d08c,2022-04-27,2022-05-27,699.98,61.25,761.23,Paid,SampleGen
INV-8134167c-0cba-4b70-a678-f5d00337a4b2,IS300010,CID-003,8134167c-0cba-4b70-a678-f5d00337a4b2,2025-11-23,2025-12-23,2179.96,190.74,2370.7,Paid,SampleGen
INV-f116a06f-9a81-4f29-9d62-370e928edcff,IS300011,CID-003,f116a06f-9a81-4f29-9d62-370e928edcff,2024-09-16,2024-10-16,1319.94,115.49,1435.43,Paid,SampleGen
INV-acb08ec2-0e27-4251-8a0f-db7b8322f304,IS300012,CID-004,acb08ec2-0e27-4251-8a0f-db7b8322f304,2021-05-19,2021-06-18,2599.98,227.5,2827.48,Paid,SampleGen
INV-d349919f-7e38-4a3c-8671-9aa1e30b0e8d,IS300013,CID-004,d349919f-7e38-4a3c-8671-9aa1e30b0e8d,2021-12-04,2022-01-03,5049.93,441.87,5491.8,Paid,SampleGen
