OrderId,OrderLineNumber,ProductId,ProductName,Quantity,UnitPrice,LineTotal,DiscountAmount,TaxAmount
eeae5ed2-0207-402e-95c8-9fd438b25a60,1,3062,Anti-Fog Ski Goggles,1,129.99,129.99,0.0,11.37
eeae5ed2-0207-402e-95c8-9fd438b25a60,2,3051,Insulated Ski Jacket - Men's,2,299.99,599.98,0.0,52.5
eeae5ed2-0207-402e-95c8-9fd438b25a60,3,3081,All-Temp Ski Wax Kit,1,79.99,79.99,0.0,7.0
52b4bd74-cf20-436f-846f-9614f94482b7,1,3013,Beginner's Choice Alpine Skis - 160cm,1,449.99,449.99,0.0,39.37
52b4bd74-cf20-436f-846f-9614f94482b7,2,3011,Alpine Pro Racing Skis - 170cm,2,1299.99,2599.98,0.0,227.5
c2c22265-d635-4e15-8f99-e4c138fbabd4,1,3103,Snowboard Bindings - Pro,2,299.99,599.98,0.0,52.5
c2c22265-d635-4e15-8f99-e4c138fbabd4,2,3081,All-Temp Ski Wax Kit,1,79.99,79.99,0.0,7.0
f7acac5e-3230-48df-a62f-e8e4bd18579f,1,3081,All-Temp Ski Wax Kit,1,79.99,79.99,0.0,7.0
f7acac5e-3230-48df-a62f-e8e4bd18579f,2,3033,Women's Performance Ski Boots,1,579.99,579.99,0.0,50.75
f7acac5e-3230-48df-a62f-e8e4bd18579f,3,3062,Anti-Fog Ski Goggles,2,129.99,259.98,0.0,22.75
f7acac5e-3230-48df-a62f-e8e4bd18579f,4,3052,Thermal Base Layer Set - Women's,1,149.99,149.99,0.0,13.12
5a40d1ae-ae2a-4a41-aefc-38fabbd356e6,1,3012,Mountain Master All-Terrain Skis - 165cm,1,899.99,899.99,0.0,78.75
5a40d1ae-ae2a-4a41-aefc-38fabbd356e6,2,3051,Insulated Ski Jacket - Men's,1,299.99,299.99,0.0,26.25
5a40d1ae-ae2a-4a41-aefc-38fabbd356e6,3,3011,Alpine Pro Racing Skis - 170cm,2,1299.99,2599.98,0.0,227.5
5a40d1ae-ae2a-4a41-aefc-38fabbd356e6,4,3053,Waterproof Ski Pants,2,249.99,499.98,0.0,43.75
0f57d219-73bf-4266-b20b-474207c269fb,1,3081,All-Temp Ski Wax Kit,1,79.99,79.99,0.0,7.0
5f231032-8cc5-447a-8380-72bd628c480f,1,3033,Women's Performance Ski Boots,2,579.99,1159.98,0.0,101.5
5f231032-8cc5-447a-8380-72bd628c480f,2,3053,Waterproof Ski Pants,1,249.99,249.99,0.0,21.87
7f6284c3-071e-4713-a283-25952336b0dc,1,3092,All-Mountain Snowboard - 158cm,1,799.99,799.99,0.0,70.0
7f6284c3-071e-4713-a283-25952336b0dc,2,3102,Winter Hiking Boots - Waterproof,1,249.99,249.99,0.0,21.87
6000cd89-ded0-4688-ac92-2f4f5d0a320f,1,3082,Edge Tuning Tool Set,2,119.99,239.98,0.0,21.0
cbaff8de-4e91-4d76-b187-08d4503eb14b,1,3021,Nordic Classic XC Skis - 185cm,1,349.99,349.99,0.0,30.62
cbaff8de-4e91-4d76-b187-08d4503eb14b,2,3011,Alpine Pro Racing Skis - 170cm,1,1299.99,1299.99,0.0,113.75
cbaff8de-4e91-4d76-b187-08d4503eb14b,3,3051,Insulated Ski Jacket - Men's,1,299.99,299.99,0.0,26.25
c03660ee-160d-44e0-b234-60ac47628585,1,3061,Professional Ski Helmet,2,199.99,399.98,0.0,35.0
c03660ee-160d-44e0-b234-60ac47628585,2,3031,Pro Flex Racing Ski Boots,2,649.99,1299.98,0.0,113.75
c03660ee-160d-44e0-b234-60ac47628585,3,3042,Aluminum All-Mountain Poles - 115cm,2,99.99,199.98,0.0,17.5
c03660ee-160d-44e0-b234-60ac47628585,4,3033,Women's Performance Ski Boots,1,579.99,579.99,0.0,50.75
9f5000fc-43f9-46c2-9ed5-7cc0fc49eae3,1,3033,Women's Performance Ski Boots,2,579.99,1159.98,0.0,101.5
71e76a3d-bd49-4bdd-bbf8-2342298a93e4,1,3091,Freestyle Snowboard - 155cm,2,649.99,1299.98,0.0,113.75
71e76a3d-bd49-4bdd-bbf8-2342298a93e4,2,3072,Hand Warmers - 10 Pack,1,14.99,14.99,0.0,1.31
71e76a3d-bd49-4bdd-bbf8-2342298a93e4,3,3082,Edge Tuning Tool Set,1,119.99,119.99,0.0,10.5
272392d7-2f99-4bf0-bdfd-dfd954fbda30,1,3032,Comfort Fit Recreational Boots,2,399.99,799.98,0.0,70.0
82a1e20c-9642-46a6-8f18-c3b266dc97b6,1,3053,Waterproof Ski Pants,2,249.99,499.98,0.0,43.75
51c0ecbf-5c47-4d5b-8b0e-20e7ff1e15f9,1,3041,Carbon Fiber Racing Poles - 120cm,2,179.99,359.98,0.0,31.5
51c0ecbf-5c47-4d5b-8b0e-20e7ff1e15f9,2,3013,Beginner's Choice Alpine Skis - 160cm,2,449.99,899.98,0.0,78.75
51c0ecbf-5c47-4d5b-8b0e-20e7ff1e15f9,3,3053,Waterproof Ski Pants,2,249.99,499.98,0.0,43.75
da5f84e4-7181-42b7-b41a-bc3abfa9e6cf,1,3104,Ski Tuning Bench - Portable,2,189.99,379.98,0.0,33.25
da5f84e4-7181-42b7-b41a-bc3abfa9e6cf,2,3082,Edge Tuning Tool Set,2,119.99,239.98,0.0,21.0
001b3868-62fa-4bc2-b86f-af3e8a4edaff,1,3052,Thermal Base Layer Set - Women's,1,149.99,149.99,0.0,13.12
001b3868-62fa-4bc2-b86f-af3e8a4edaff,2,3031,Pro Flex Racing Ski Boots,2,649.99,1299.98,0.0,113.75
d98dce4a-5f13-423b-8538-0112a5c295a2,1,3052,Thermal Base Layer Set - Women's,1,149.99,149.99,0.0,13.12
d98dce4a-5f13-423b-8538-0112a5c295a2,2,3013,Beginner's Choice Alpine Skis - 160cm,2,449.99,899.98,0.0,78.75
