TransactionID,ProductID,WarehouseID,TransactionType,TransactionDate,Quantity,UnitCost,TotalValue,ReferenceNumber,ReasonCode,StockBefore,StockAfter,ProcessedBy,Notes,CreatedBy,CreatedDate
1,1543,1,Sale,2025-12-11,-15,65.36,980.4,SO-17766,Customer Sale,15,0,warehouse1,Transaction processed for WH_100 location,system,2025-12-11
2,1532,1,Adjustment,2025-12-28,15,67.64,1014.6,ADJ-2,System Correction,152,167,warehouse2,Transaction processed for WH_100 location,system,2025-12-28
3,3021,1,Sale,2025-11-19,-27,270.38,7300.26,SO-67474,Customer Sale,27,0,system,Transaction processed for WH_100 location,system,2025-11-19
4,3092,1,Sale,2025-07-19,-16,540.11,8641.76,SO-39410,Customer Sale,228,212,warehouse1,Transaction processed for WH_100 location,system,2025-07-19
5,2121,1,Sale,2025-09-28,-23,31.62,727.26,SO-54732,Customer Sale,48,25,system,Transaction processed for WH_100 location,system,2025-09-28
6,1553,1,Receipt,2025-08-06,63,90.1,5676.3,PO-2941,Purchase Order Receipt,175,238,warehouse1,Transaction processed for WH_100 location,system,2025-08-06
7,1522,2,Sale,2026-02-07,-19,163.1,3098.9,SO-17299,Customer Sale,19,0,system,Transaction processed for Backup location,system,2026-02-07
8,2081,2,Sale,2025-11-01,-14,25.3,354.2,SO-30843,Customer Sale,153,139,warehouse2,Transaction processed for WH_200 location,system,2025-11-01
9,1553,1,Adjustment,2025-07-20,-20,91.38,1827.6,ADJ-9,System Correction,198,178,system,Transaction processed for WH_100 location,system,2025-07-20
10,3033,1,Receipt,2025-10-08,61,410.44,25036.84,PO-4370,Purchase Order Receipt,167,228,warehouse1,Transaction processed for WH_100 location,system,2025-10-08
11,3062,3,Receipt,2026-03-01,81,90.5,7330.5,PO-8783,Purchase Order Receipt,16,97,warehouse2,Transaction processed for WH_500 location,system,2026-03-01
12,2051,2,Damage,2026-01-02,-9,16.44,147.96,DMG-12,Shipping Damage,76,67,warehouse1,Transaction processed for Backup location,system,2026-01-02
13,1522,1,Receipt,2026-04-14,114,156.89,17885.46,PO-6442,Purchase Order Receipt,173,287,system,Transaction processed for WH_100 location,system,2026-04-14
14,3022,1,Transfer,2025-11-06,-47,352.53,16568.91,TRF-6429,Warehouse Transfer,80,33,system,Transaction processed for WH_100 location,system,2025-11-06
15,3092,1,Sale,2026-03-25,-25,540.11,13502.75,SO-27697,Customer Sale,267,242,warehouse2,Transaction processed for WH_100 location,system,2026-03-25
16,1553,1,Sale,2026-04-09,-41,91.38,3746.58,SO-42687,Customer Sale,235,194,warehouse1,Transaction processed for WH_100 location,system,2026-04-09
17,3062,3,Sale,2025-11-01,-9,88.18,793.62,SO-14847,Customer Sale,9,0,system,Transaction processed for WH_500 location,system,2025-11-01
18,3082,1,Sale,2025-07-22,-35,84.82,2968.7,SO-64552,Customer Sale,35,0,warehouse2,Transaction processed for WH_100 location,system,2025-07-22
19,1543,1,Sale,2025-08-21,-32,65.36,2091.52,SO-39356,Customer Sale,42,10,system,Transaction processed for WH_100 location,system,2025-08-21
20,3011,1,Sale,2026-03-18,-32,968.68,30997.76,SO-98513,Customer Sale,232,200,warehouse2,Transaction processed for WH_100 location,system,2026-03-18
21,2071,1,Receipt,2026-01-10,43,22.94,986.42,PO-3530,Purchase Order Receipt,16,59,warehouse1,Transaction processed for WH_100 location,system,2026-01-10
22,3101,1,Sale,2026-02-22,-4,114.44,457.76,SO-61297,Customer Sale,4,0,warehouse1,Transaction processed for WH_100 location,system,2026-02-22
23,1571,1,Sale,2025-07-15,-47,109.65,5153.55,SO-21320,Customer Sale,286,239,system,Transaction processed for WH_100 location,system,2025-07-15
24,2011,2,Receipt,2025-07-07,184,129.23,23778.32,PO-5320,Purchase Order Receipt,96,280,system,Transaction processed for Backup location,system,2025-07-07
25,1553,2,Sale,2025-12-24,-31,91.38,2832.78,SO-81127,Customer Sale,133,102,warehouse2,Transaction processed for Backup location,system,2025-12-24
26,1512,1,Sale,2026-02-12,-3,219.21,657.63,SO-52210,Customer Sale,3,0,system,Transaction processed for WH_100 location,system,2026-02-12
27,3103,1,Sale,2026-02-06,-48,180.33,8655.84,SO-38726,Customer Sale,67,19,warehouse2,Transaction processed for WH_100 location,system,2026-02-06
28,3091,2,Sale,2025-09-27,-26,456.94,11880.44,SO-32832,Customer Sale,185,159,warehouse2,Transaction processed for WH_200 location,system,2025-09-27
29,2111,2,Sale,2025-08-30,-27,142.6,3850.2,SO-83385,Customer Sale,74,47,system,Transaction processed for WH_200 location,system,2025-08-30
30,3102,1,Damage,2025-11-11,-5,173.13,865.65,DMG-30,Quality Issue,186,181,warehouse2,Transaction processed for WH_100 location,system,2025-11-11
31,3041,2,Sale,2026-03-19,-18,127.74,2299.32,SO-45946,Customer Sale,74,56,system,Transaction processed for WH_200 location,system,2026-03-19
32,1521,2,Receipt,2025-08-26,107,125.74,13454.18,PO-6984,Purchase Order Receipt,20,127,warehouse1,Transaction processed for Backup location,system,2025-08-26
33,3021,1,Return,2026-04-09,1,216.3,216.3,RET-78754,Customer Return,10,11,warehouse1,Transaction processed for WH_100 location,system,2026-04-09
34,3104,2,Receipt,2025-11-10,161,124.51,20046.11,PO-7228,Purchase Order Receipt,74,235,warehouse2,Transaction processed for WH_200 location,system,2025-11-10
35,3091,2,Receipt,2025-11-16,33,440.14,14524.62,PO-2560,Purchase Order Receipt,202,235,warehouse1,Transaction processed for WH_200 location,system,2025-11-16
36,3052,2,Adjustment,2025-09-10,-9,115.25,1037.25,ADJ-36,Cycle Count,37,28,warehouse1,Transaction processed for Backup location,system,2025-09-10
37,3041,2,Sale,2026-04-02,-37,127.74,4726.38,SO-59318,Customer Sale,77,40,system,Transaction processed for WH_200 location,system,2026-04-02
38,3042,1,Receipt,2026-03-21,43,65.42,2813.06,PO-9300,Purchase Order Receipt,306,349,warehouse2,Transaction processed for WH_100 location,system,2026-03-21
39,3103,1,Sale,2025-08-16,-27,180.33,4868.91,SO-23631,Customer Sale,108,81,system,Transaction processed for WH_100 location,system,2025-08-16
40,3062,3,Sale,2025-09-07,-47,88.18,4144.46,SO-42581,Customer Sale,70,23,system,Transaction processed for WH_500 location,system,2025-09-07
41,3022,1,Receipt,2025-10-21,95,354.47,33674.65,PO-5379,Purchase Order Receipt,112,207,warehouse1,Transaction processed for WH_100 location,system,2025-10-21
42,3091,2,Sale,2025-10-04,-5,456.94,2284.7,SO-59186,Customer Sale,75,70,warehouse2,Transaction processed for WH_200 location,system,2025-10-04
43,3021,1,Sale,2026-04-13,-31,270.38,8381.78,SO-56361,Customer Sale,110,79,system,Transaction processed for WH_100 location,system,2026-04-13
44,3021,1,Adjustment,2025-12-16,7,270.38,1892.66,ADJ-44,Cycle Count,23,30,warehouse2,Transaction processed for WH_100 location,system,2025-12-16
45,3011,1,Adjustment,2025-10-19,5,968.68,4843.4,ADJ-45,System Correction,208,213,warehouse2,Transaction processed for WH_100 location,system,2025-10-19
46,3013,1,Receipt,2025-12-25,21,361.79,7597.59,PO-2903,Purchase Order Receipt,63,84,warehouse2,Transaction processed for WH_100 location,system,2025-12-25
47,3103,1,Adjustment,2025-09-07,19,180.33,3426.27,ADJ-47,Physical Count,66,85,warehouse1,Transaction processed for WH_100 location,system,2025-09-07
48,3041,2,Adjustment,2025-08-05,-18,127.74,2299.32,ADJ-48,Physical Count,173,155,warehouse2,Transaction processed for WH_200 location,system,2025-08-05
49,1563,1,Receipt,2025-07-06,167,69.23,11561.41,PO-7923,Purchase Order Receipt,88,255,warehouse2,Transaction processed for WH_100 location,system,2025-07-06
