PurchaseOrderID,PurchaseOrderNumber,SupplierID,SupplierName,OrderDate,ExpectedDeliveryDate,ActualDeliveryDate,Status,TotalOrderValue,DeliveryLocation,OrderedBy,Priority,Notes,CreatedBy,CreatedDate
1,PO-2026-0001,2,Proseware Inc,2026-02-11,2026-02-21,2026-02-21,Delivered,3202.27,Regional DC,buyer2,Low,Order for Kitchen products,system,2026-02-11
2,PO-2026-0002,4,Worldwide Importers,2026-02-16,2026-03-11,2026-03-11,Delivered,198.33,Backup Warehouse,supply_manager,Medium,Multi-category order,system,2026-02-16
3,PO-2026-0003,3,Alpine Ski House,2026-03-24,2026-04-06,2026-04-07,Delivered,77607.8,Backup Warehouse,buyer1,Medium,Order for Ski products,system,2026-03-24
4,PO-2026-0004,4,Worldwide Importers,2026-03-29,2026-04-22,2026-04-24,Delivered,68018.71,Backup Warehouse,supply_manager,Low,Multi-category order,system,2026-03-29
5,PO-2026-0005,5,Fabrikam,2026-03-21,2026-04-04,2026-04-07,Delivered,18322.92,Regional DC,supply_manager,High,Order for Ski products,system,2026-03-21
6,PO-2026-0006,3,Alpine Ski House,2026-03-28,2026-04-08,2026-04-11,Delivered,99069.54,Regional DC,supply_manager,Medium,Order for Ski products,system,2026-03-28
7,PO-2026-0007,3,Alpine Ski House,2026-02-14,2026-03-02,2026-03-03,Delivered,116908.01,Main Warehouse,buyer1,Low,Order for Ski products,system,2026-02-14
8,PO-2026-0008,4,Worldwide Importers,2026-03-03,2026-03-25,2026-03-26,Delivered,38995.66,Regional DC,supply_manager,Low,Multi-category order,system,2026-03-03
9,PO-2026-0009,4,Worldwide Importers,2026-03-28,2026-04-20,2026-04-20,Delivered,7676.46,Main Warehouse,buyer1,Medium,Multi-category order,system,2026-03-28
10,PO-2026-0010,3,Alpine Ski House,2026-02-17,2026-03-02,2026-03-03,Delivered,10141.61,Regional DC,buyer2,Low,Order for Ski products,system,2026-02-17
11,PO-2026-0011,1,Contoso Ltd,2026-03-29,2026-04-13,2026-04-16,Delivered,8718.0,Main Warehouse,buyer1,Low,Order for Camping products,system,2026-03-29
12,PO-2026-0012,4,Worldwide Importers,2026-04-11,2026-05-02,,Confirmed,11489.62,Main Warehouse,buyer2,Emergency,Multi-category order,system,2026-04-11
13,PO-2026-0013,5,Fabrikam,2026-02-28,2026-03-15,2026-03-16,Delivered,27102.73,Regional DC,supply_manager,Low,Order for Ski products,system,2026-02-28
14,PO-2026-0014,1,Contoso Ltd,2026-04-11,2026-04-19,2026-04-19,Delivered,848.88,Main Warehouse,buyer2,Medium,Order for Camping products,system,2026-04-11
15,PO-2026-0015,5,Fabrikam,2026-04-19,2026-05-05,,InTransit,17426.81,Regional DC,buyer2,Low,Order for Ski products,system,2026-04-19
16,PO-2026-0016,4,Worldwide Importers,2026-03-09,2026-04-03,2026-04-04,Delivered,2111.85,Main Warehouse,supply_manager,Low,Multi-category order,system,2026-03-09
