InventoryID,ProductID,ProductName,ProductCategory,WarehouseLocation,CurrentStock,ReservedStock,AvailableStock,SafetyStockLevel,ReorderPoint,MaxStockLevel,LastUpdated,AverageCost,Status,CreatedBy,CreatedDate
1,1521,Adventurer Pro Backpack,Camping,Main,296,59,237,24,31,255,2026-04-28,135.23,Excess,system,2025-11-18
2,1531,Summit Breeze Jacket,Camping,Main,5,0,5,18,23,60,2026-04-29,112.99,LowStock,system,2026-03-29
3,1531,Summit Breeze Jacket,Camping,Backup,1,0,1,18,23,60,2026-04-29,112.99,Active,system,2026-03-29
4,1541,TrekReady Hiking Boots,Camping,Main,31,4,27,15,22,109,2026-04-29,138.03,Active,system,2026-02-18
5,1551,BaseCamp Folding Table,Camping,Main,26,4,22,27,35,147,2026-04-29,70.74,LowStock,system,2025-08-07
6,1551,BaseCamp Folding Table,Camping,Backup,12,0,12,27,35,147,2026-04-29,70.74,Active,system,2025-08-07
7,1561,EcoFire Camping Stove,Camping,Main,139,25,114,28,37,279,2026-04-29,90.44,Active,system,2025-08-18
8,1571,CozyNights Sleeping Bag,Camping,Main,83,15,68,18,34,141,2026-04-29,112.92,Active,system,2025-08-08
9,1511,Alpine Explorer Tent,Camping,Main,139,32,107,22,38,177,2026-04-29,283.71,Active,system,2026-02-26
10,1522,SummitClimber Backpack,Camping,Main,14,2,12,17,22,173,2026-04-28,154.62,LowStock,system,2025-10-06
11,1532,TrailBlaze Hiking Pants,Camping,Main,11,2,9,16,27,110,2026-04-28,60.59,LowStock,system,2025-10-10
12,1542,TrailWalker Hiking Shoes,Camping,Main,68,17,51,34,64,125,2026-04-29,98.66,Active,system,2026-03-29
13,1542,TrailWalker Hiking Shoes,Camping,Backup,21,0,21,34,64,125,2026-04-29,98.66,Active,system,2026-03-29
14,1552,TrekMaster Camping Chair,Camping,Backup,3,0,3,22,43,170,2026-04-29,53.09,LowStock,system,2025-07-04
15,1562,PowerBurner Camping Stove,Camping,Main,117,21,96,24,45,106,2026-04-29,140.13,Excess,system,2025-07-08
16,1562,PowerBurner Camping Stove,Camping,Backup,29,0,29,24,45,106,2026-04-29,140.13,Active,system,2025-07-08
17,1572,MountainDream Sleeping Bag,Camping,Regional,7,1,6,4,6,19,2026-04-28,221.46,Active,system,2025-09-13
