AccountId,AccountNumber,CustomerId,AccountType,AccountStatus,CreatedDate,ClosedDate,Balance,Currency,Description,CreatedBy
a2868f35-1696-4183-ba4c-2c63d1d1c984,ACC-Camping-1000,CID-001,Receivable,Active,2021-01-01,,0.0,USD,Customer receivable account (Camping),SampleGen
1d689def-1bea-4eda-b32f-7c499ed7f1f8,ACC-Camping-1001,CID-002,Receivable,Active,2021-01-01,,0.0,USD,Customer receivable account (Camping),SampleGen
c179e0a4-d84a-4b28-97cf-967dcc859886,ACC-Camping-1002,CID-003,Receivable,Active,2021-01-01,,0.0,USD,Customer receivable account (Camping),SampleGen
b84510d9-2dbf-4a53-918c-74fd9383ce91,ACC-Camping-1003,CID-004,Receivable,Active,2021-01-01,,0.0,USD,Customer receivable account (Camping),SampleGen
acad32cc-0f63-4989-970e-b22ecc66e686,ACC-Camping-1004,CID-005,Receivable,Active,2021-01-01,,0.0,USD,Customer receivable account (Camping),SampleGen
f2d46d8e-a7ce-4259-9251-c37f0d4bd8c5,ACC-Camping-1005,CID-006,Receivable,Active,2021-01-01,,0.0,USD,Customer receivable account (Camping),SampleGen
b33efeeb-8ea5-4ab3-a1a3-fdfd708b5276,ACC-Camping-1006,CID-007,Receivable,Active,2021-01-01,,0.0,USD,Customer receivable account (Camping),SampleGen
83ee0e8c-6af6-4d51-aad5-afe9770f9af3,ACC-Camping-1007,CID-008,Receivable,Active,2021-01-01,,0.0,USD,Customer receivable account (Camping),SampleGen
e5042095-a916-4896-967e-8b0e2875fd5f,ACC-Camping-1008,CID-009,Receivable,Active,2021-01-01,,0.0,USD,Customer receivable account (Camping),SampleGen
97c23458-7b8e-4629-b92f-ea9f05f22281,ACC-Camping-1009,CID-010,Receivable,Active,2021-01-01,,0.0,USD,Customer receivable account (Camping),SampleGen
75dc8e4b-f09b-4421-9749-b19fe3db2656,ACC-Camping-1010,CID-011,Receivable,Active,2021-01-01,,0.0,USD,Customer receivable account (Camping),SampleGen
b3134ef4-cf26-450e-a910-45c100a3a0f0,ACC-Camping-1011,CID-012,Receivable,Active,2021-01-01,,0.0,USD,Customer receivable account (Camping),SampleGen
84ec3f40-46fb-425b-95d6-911202ce3d2b,ACC-Camping-1012,CID-013,Receivable,Active,2021-01-01,,0.0,USD,Customer receivable account (Camping),SampleGen
f8ffb881-f826-4d91-ac0d-b745bb666f05,ACC-Camping-1013,CID-014,Receivable,Active,2021-01-01,,0.0,USD,Customer receivable account (Camping),SampleGen
cd0fae31-6e38-4927-a39f-9fa5965fd96d,ACC-Camping-1014,CID-015,Receivable,Active,2021-01-01,,0.0,USD,Customer receivable account (Camping),SampleGen
