InvoiceId,InvoiceNumber,CustomerId,OrderId,InvoiceDate,DueDate,SubTotal,TaxAmount,TotalAmount,InvoiceStatus,CreatedBy
INV-1ccf3d76-bf77-4183-b763-fd64681ef5f4,IS300000,CID-001,1ccf3d76-bf77-4183-b763-fd64681ef5f4,2025-08-02,2025-09-01,2359.95,206.5,2566.45,Paid,SampleGen
INV-61ce6798-5765-4f3a-b811-3ee07b5d934e,IS300001,CID-001,61ce6798-5765-4f3a-b811-3ee07b5d934e,2025-11-04,2025-12-04,2359.95,206.5,2566.45,Paid,SampleGen
INV-df6c246f-2689-4b48-a7df-cb4ccc61431a,IS300002,CID-001,df6c246f-2689-4b48-a7df-cb4ccc61431a,2025-06-15,2025-07-15,849.95,74.37,924.32,Paid,SampleGen
INV-767454d7-4c83-4b61-9dda-208fe0b94803,IS300003,CID-002,767454d7-4c83-4b61-9dda-208fe0b94803,2025-07-19,2025-08-18,649.99,56.87,706.86,Paid,SampleGen
INV-fca647e7-a616-4888-a595-c2b756a6855f,IS300004,CID-002,fca647e7-a616-4888-a595-c2b756a6855f,2025-02-19,2025-03-21,1829.96,160.12,1990.08,Paid,SampleGen
INV-f29f55c7-cb54-4435-93cc-3df414403157,IS300005,CID-003,f29f55c7-cb54-4435-93cc-3df414403157,2025-08-23,2025-09-22,1419.96,124.25,1544.21,Paid,SampleGen
INV-5021ce7e-008d-4aa1-8f46-e6f2255eeb6a,IS300006,CID-003,5021ce7e-008d-4aa1-8f46-e6f2255eeb6a,2025-08-19,2025-09-18,429.97,37.62,467.59,Paid,SampleGen
INV-247581e5-e20c-4989-b15f-04f405f20d29,IS300007,CID-003,247581e5-e20c-4989-b15f-04f405f20d29,2025-05-05,2025-06-04,329.97,28.87,358.84,Paid,SampleGen
INV-27e6a306-7a41-41a2-9fd9-68f4e1028007,IS300008,CID-004,27e6a306-7a41-41a2-9fd9-68f4e1028007,2026-01-12,2026-02-11,3009.94,263.37,3273.31,Paid,SampleGen
INV-2c029474-2deb-447b-9c50-3fbad84cf6b4,IS300009,CID-004,2c029474-2deb-447b-9c50-3fbad84cf6b4,2025-03-17,2025-04-16,1159.98,101.5,1261.48,Paid,SampleGen
INV-eeda97b8-7085-45b0-9520-e5dac8b56300,IS300010,CID-005,eeda97b8-7085-45b0-9520-e5dac8b56300,2025-06-08,2025-07-08,79.99,7.0,86.99,Paid,SampleGen
INV-5577ab2f-41f7-402d-8f9b-c229dcad7be7,IS300011,CID-005,5577ab2f-41f7-402d-8f9b-c229dcad7be7,2025-05-21,2025-06-20,1159.96,101.49,1261.45,Paid,SampleGen
INV-56f1ef0f-ed36-454c-965f-228dc069fb86,IS300012,CID-005,56f1ef0f-ed36-454c-965f-228dc069fb86,2025-05-03,2025-06-02,1119.97,97.99,1217.96,Paid,SampleGen
INV-eb1cf45f-8525-4734-938a-3d5a1b293311,IS300013,CID-005,eb1cf45f-8525-4734-938a-3d5a1b293311,2025-05-11,2025-06-10,309.98,27.12,337.1,Paid,SampleGen
INV-7224ae26-cd0d-42cd-90c9-004fb971c9dc,IS300014,CID-006,7224ae26-cd0d-42cd-90c9-004fb971c9dc,2026-02-12,2026-03-14,1259.96,110.24,1370.2,Paid,SampleGen
INV-7c767c52-5b3e-4cee-aa79-d2444b6e0273,IS300015,CID-006,7c767c52-5b3e-4cee-aa79-d2444b6e0273,2025-07-03,2025-08-02,454.96,39.81,494.77,Paid,SampleGen
