PurchaseOrderItemID,PurchaseOrderID,PurchaseOrderNumber,ProductID,ProductName,ProductCategory,QuantityOrdered,QuantityReceived,UnitCost,LineTotal,Status,ExpectedDate,ReceivedDate,Notes,CreatedBy,CreatedDate
1,1,PO-2026-0001,1571,CozyNights Sleeping Bag,Camping,25,25.0,118.69,2967.25,Received,2026-01-27,2026-01-30,Supplier SKU: CON-1571,system,2026-01-15 16:57:34
2,2,PO-2026-0002,2022,Fork Set,Kitchen,2,2.0,33.53,67.06,Received,2026-01-14,2026-01-15,Supplier SKU: CON-2022,system,2026-01-04 16:57:34
3,2,PO-2026-0002,2071,Baking Pan,Kitchen,5,5.0,17.94,89.7,Received,2026-01-14,2026-01-15,Supplier SKU: CON-2071,system,2026-01-04 16:57:34
4,2,PO-2026-0002,2012,Espresso Machine,Kitchen,139,139.0,317.56,44140.84,Received,2026-01-14,2026-01-15,Supplier SKU: CON-2012,system,2026-01-04 16:57:34
5,2,PO-2026-0002,2051,Ice Cream Bowl,Kitchen,11,11.0,15.67,172.37,Received,2026-01-14,2026-01-15,Supplier SKU: CON-2051,system,2026-01-04 16:57:34
6,2,PO-2026-0002,2041,Serving Platter,Kitchen,31,31.0,44.78,1388.18,Received,2026-01-14,2026-01-15,Supplier SKU: CON-2041,system,2026-01-04 16:57:34
7,3,PO-2026-0003,2091,Spatula,Kitchen,170,170.0,10.16,1727.2,Received,2026-01-27,2026-01-27,Supplier SKU: CON-2091,system,2026-01-19 16:57:34
8,3,PO-2026-0003,2011,Coffee Maker,Kitchen,34,34.0,138.52,4709.68,Received,2026-01-27,2026-01-27,Supplier SKU: CON-2011,system,2026-01-19 16:57:34
9,3,PO-2026-0003,2031,Coffee Mug,Kitchen,120,120.0,24.79,2974.8,Received,2026-01-27,2026-01-27,Supplier SKU: CON-2031,system,2026-01-19 16:57:34
10,3,PO-2026-0003,2081,Food Storage Set,Kitchen,159,159.0,27.03,4297.77,Received,2026-01-27,2026-01-27,Supplier SKU: CON-2081,system,2026-01-19 16:57:34
11,4,PO-2026-0004,3053,Waterproof Ski Pants,Ski,2,2.0,195.13,390.26,Received,2026-02-16,2026-02-17,Supplier SKU: WOR-3053,system,2026-01-21 16:57:34
12,4,PO-2026-0004,3052,Thermal Base Layer Set - Women's,Ski,92,92.0,126.03,11594.76,Received,2026-02-16,2026-02-17,Supplier SKU: WOR-3052,system,2026-01-21 16:57:34
13,4,PO-2026-0004,2022,Fork Set,Kitchen,72,72.0,30.27,2179.44,Received,2026-02-16,2026-02-17,Supplier SKU: WOR-2022,system,2026-01-21 16:57:34
14,5,PO-2026-0005,3061,Professional Ski Helmet,Ski,41,41.0,153.13,6278.33,Received,2026-03-04,2026-03-04,Supplier SKU: CON-3061,system,2026-02-20 16:57:34
15,5,PO-2026-0005,3092,All-Mountain Snowboard - 158cm,Ski,243,243.0,615.49,149564.07,Received,2026-03-04,2026-03-04,Supplier SKU: CON-3092,system,2026-02-20 16:57:34
16,6,PO-2026-0006,1581,LED Headlamp - Rechargeable,Camping,5,,57.57,287.85,Pending,2026-03-16,,Supplier SKU: CON-1581,system,2026-02-26 16:57:34
17,6,PO-2026-0006,1532,TrailBlaze Hiking Pants,Camping,22,,62.16,1367.52,Pending,2026-03-16,,Supplier SKU: CON-1532,system,2026-02-26 16:57:34
18,7,PO-2026-0007,2012,Espresso Machine,Kitchen,150,,317.56,47634.0,Shipped,2026-03-20,,Supplier SKU: CON-2012,system,2026-03-05 16:57:34
19,8,PO-2026-0008,3052,Thermal Base Layer Set - Women's,Ski,81,,126.03,10208.43,Shipped,2026-03-25,,Supplier SKU: WOR-3052,system,2026-02-26 16:57:34
20,8,PO-2026-0008,3072,Hand Warmers - 10 Pack,Ski,29,,10.83,314.07,Shipped,2026-03-25,,Supplier SKU: WOR-3072,system,2026-02-26 16:57:34
21,9,PO-2026-0009,3101,Winter Boots - Insulated,Ski,4,4.0,126.25,505.0,Received,2026-02-04,2026-02-04,Supplier SKU: CON-3101,system,2026-01-25 16:57:34
22,9,PO-2026-0009,3032,Comfort Fit Recreational Boots,Ski,234,234.0,317.84,74374.56,Received,2026-02-04,2026-02-04,Supplier SKU: CON-3032,system,2026-01-25 16:57:34
23,9,PO-2026-0009,3012,Mountain Master All-Terrain Skis - 165cm,Ski,163,163.0,652.28,106321.64,Received,2026-02-04,2026-02-04,Supplier SKU: CON-3012,system,2026-01-25 16:57:34
24,9,PO-2026-0009,3051,Insulated Ski Jacket - Men's,Ski,13,13.0,231.05,3003.65,Received,2026-02-04,2026-02-04,Supplier SKU: CON-3051,system,2026-01-25 16:57:34
25,9,PO-2026-0009,3053,Waterproof Ski Pants,Ski,2,2.0,163.53,327.06,Received,2026-02-04,2026-02-04,Supplier SKU: CON-3053,system,2026-01-25 16:57:34
26,10,PO-2026-0010,3041,Carbon Fiber Racing Poles - 120cm,Ski,14,9.0,116.95,1637.3,Backordered,2026-02-26,2026-02-28,Supplier SKU: CON-3041,system,2026-02-16 16:57:34
27,10,PO-2026-0010,3101,Winter Boots - Insulated,Ski,4,4.0,126.25,505.0,Received,2026-02-26,2026-02-28,Supplier SKU: CON-3101,system,2026-02-16 16:57:34
