PurchaseOrderID,PurchaseOrderNumber,SupplierID,SupplierName,OrderDate,ExpectedDeliveryDate,ActualDeliveryDate,Status,TotalOrderValue,DeliveryLocation,OrderedBy,Priority,Notes,CreatedBy,CreatedDate
1,PO-2026-0001,1,Contoso Camping Equipment,2026-01-15,2026-01-27,2026-01-30,Delivered,2967.25,Regional DC,buyer1,Medium,Order for Camping products,system,2026-01-15 16:57:34
2,PO-2026-0002,2,Contoso Kitchen,2026-01-04,2026-01-14,2026-01-15,Delivered,45858.15,Regional DC,buyer2,Low,Order for Kitchen products,system,2026-01-04 16:57:34
3,PO-2026-0003,2,Contoso Kitchen,2026-01-19,2026-01-27,2026-01-27,Delivered,13709.45,Backup Warehouse,supply_manager,Low,Order for Kitchen products,system,2026-01-19 16:57:34
4,PO-2026-0004,4,Worldwide Importers,2026-01-21,2026-02-16,2026-02-17,Delivered,14164.46,Backup Warehouse,buyer1,Low,Multi-category order,system,2026-01-21 16:57:34
5,PO-2026-0005,3,Contoso Ski Equipment,2026-02-20,2026-03-04,2026-03-04,Delivered,155842.4,Regional DC,buyer1,Low,Order for Ski products,system,2026-02-20 16:57:34
6,PO-2026-0006,1,Contoso Camping Equipment,2026-02-26,2026-03-16,,Confirmed,1655.37,Regional DC,buyer1,High,Order for Camping products,system,2026-02-26 16:57:34
7,PO-2026-0007,2,Contoso Kitchen,2026-03-05,2026-03-20,,InTransit,47634.0,Main Warehouse,buyer1,Low,Order for Kitchen products,system,2026-03-05 16:57:34
8,PO-2026-0008,4,Worldwide Importers,2026-02-26,2026-03-25,,InTransit,10522.5,Backup Warehouse,supply_manager,Medium,Multi-category order,system,2026-02-26 16:57:34
9,PO-2026-0009,3,Contoso Ski Equipment,2026-01-25,2026-02-04,2026-02-04,Delivered,184531.91,Regional DC,supply_manager,Emergency,Order for Ski products,system,2026-01-25 16:57:34
10,PO-2026-0010,3,Contoso Ski Equipment,2026-02-16,2026-02-26,2026-02-28,Delivered,205642.43,Backup Warehouse,buyer2,Low,Order for Ski products,system,2026-02-16 16:57:34
11,PO-2026-0011,2,Contoso Kitchen,2026-02-08,2026-02-16,2026-03-01,Delivered,35870.99,Backup Warehouse,buyer1,Low,Order for Kitchen products,system,2026-02-08 16:57:34
12,PO-2026-0012,1,Contoso Camping Equipment,2026-02-17,2026-03-08,2026-03-10,Delivered,44068.66,Regional DC,buyer2,Low,Order for Camping products,system,2026-02-17 16:57:34
13,PO-2026-0013,5,Fabrikam,2026-02-05,2026-02-26,2026-02-27,Delivered,39993.6,Backup Warehouse,buyer1,Medium,Order for Ski products,system,2026-02-05 16:57:34
14,PO-2026-0014,3,Contoso Ski Equipment,2026-02-03,2026-02-14,2026-02-16,Delivered,39543.64,Main Warehouse,buyer1,Medium,Order for Ski products,system,2026-02-03 16:57:34
15,PO-2025-0015,4,Worldwide Importers,2025-12-22,2026-01-22,2026-01-28,Delivered,92563.88,Backup Warehouse,buyer1,Low,Multi-category order,system,2025-12-22 16:57:34
16,PO-2026-0016,4,Worldwide Importers,2026-01-23,2026-02-19,2026-02-22,Delivered,14063.9,Main Warehouse,supply_manager,Low,Multi-category order,system,2026-01-23 16:57:34
17,PO-2025-0017,5,Fabrikam,2025-12-21,2026-01-11,2026-01-11,Delivered,25540.07,Regional DC,buyer2,Medium,Order for Ski products,system,2025-12-21 16:57:34
18,PO-2026-0018,4,Worldwide Importers,2026-01-11,2026-02-10,2026-02-12,Delivered,5785.7,Regional DC,buyer2,Medium,Multi-category order,system,2026-01-11 16:57:34
19,PO-2026-0019,2,Contoso Kitchen,2026-01-24,2026-02-07,2026-02-07,Delivered,2719.36,Backup Warehouse,buyer1,Low,Order for Kitchen products,system,2026-01-24 16:57:34
20,PO-2025-0020,3,Contoso Ski Equipment,2025-12-31,2026-01-16,2026-01-16,Delivered,160970.68,Regional DC,supply_manager,Low,Order for Ski products,system,2025-12-31 16:57:34
21,PO-2026-0021,4,Worldwide Importers,2026-02-01,2026-03-04,2026-03-06,Delivered,24970.21,Regional DC,supply_manager,Low,Multi-category order,system,2026-02-01 16:57:34
22,PO-2025-0022,1,Contoso Camping Equipment,2025-12-14,2025-12-29,2025-12-30,Delivered,60702.83,Main Warehouse,supply_manager,Low,Order for Camping products,system,2025-12-14 16:57:34
23,PO-2026-0023,3,Contoso Ski Equipment,2026-01-21,2026-02-06,2026-02-07,Delivered,82873.57,Backup Warehouse,supply_manager,Low,Order for Ski products,system,2026-01-21 16:57:34
24,PO-2025-0024,1,Contoso Camping Equipment,2025-12-24,2026-01-07,2026-01-20,Delivered,2620.8,Backup Warehouse,supply_manager,Low,Order for Camping products,system,2025-12-24 16:57:34
25,PO-2026-0025,3,Contoso Ski Equipment,2026-01-03,2026-01-18,,InTransit,8262.1,Main Warehouse,supply_manager,Low,Order for Ski products,system,2026-01-03 16:57:34
26,PO-2026-0026,4,Worldwide Importers,2026-01-27,2026-02-23,2026-02-25,Delivered,99681.66,Regional DC,buyer2,Low,Multi-category order,system,2026-01-27 16:57:34
27,PO-2025-0027,3,Contoso Ski Equipment,2025-12-15,2025-12-31,2026-01-02,Delivered,57013.84,Backup Warehouse,buyer2,Medium,Order for Ski products,system,2025-12-15 16:57:34
28,PO-2026-0028,3,Contoso Ski Equipment,2026-03-03,2026-03-19,,InTransit,29017.37,Regional DC,buyer2,Medium,Order for Ski products,system,2026-03-03 16:57:34
29,PO-2026-0029,1,Contoso Camping Equipment,2026-02-21,2026-03-08,2026-03-08,Delivered,17524.26,Backup Warehouse,buyer2,High,Order for Camping products,system,2026-02-21 16:57:34
30,PO-2026-0030,4,Worldwide Importers,2026-02-11,2026-03-11,,Confirmed,298.38,Main Warehouse,buyer2,Low,Multi-category order,system,2026-02-11 16:57:34
