PurchaseOrderItemID,PurchaseOrderID,PurchaseOrderNumber,ProductID,ProductName,ProductCategory,QuantityOrdered,QuantityReceived,UnitCost,LineTotal,Status,ExpectedDate,ReceivedDate,Notes,CreatedBy,CreatedDate
1,1,PO-2026-0001,1512,SkyView 2-Person Tent,Camping,13,13.0,246.74,3207.62,Received,2026-01-19,2026-01-20,Supplier SKU: CON-1512,system,2026-01-07 11:05:25
2,1,PO-2026-0001,1581,LED Headlamp - Rechargeable,Camping,23,22.0,52.95,1217.85,Backordered,2026-01-19,2026-01-20,Supplier SKU: CON-1581,system,2026-01-07 11:05:25
3,1,PO-2026-0001,1533,RainGuard Hiking Jacket,Camping,25,25.0,125.62,3140.5,Received,2026-01-19,2026-01-20,Supplier SKU: CON-1533,system,2026-01-07 11:05:25
4,1,PO-2026-0001,1551,BaseCamp Folding Table,Camping,27,27.0,64.59,1743.93,Received,2026-01-19,2026-01-20,Supplier SKU: CON-1551,system,2026-01-07 11:05:25
5,2,PO-2026-0002,2071,Baking Pan,Kitchen,10,10.0,20.55,205.5,Received,2026-01-19,2026-01-22,Supplier SKU: PRO-2071,system,2026-01-09 11:05:25
6,3,PO-2026-0003,3102,Winter Hiking Boots - Waterproof,Ski,10,7.0,189.66,1896.6,Backordered,2026-02-03,2026-02-05,Supplier SKU: ALP-3102,system,2026-01-24 11:05:25
7,3,PO-2026-0003,3082,Edge Tuning Tool Set,Ski,77,77.0,91.09,7013.93,Received,2026-02-03,2026-02-05,Supplier SKU: ALP-3082,system,2026-01-24 11:05:25
8,4,PO-2025-0004,3081,All-Temp Ski Wax Kit,Ski,190,190.0,52.94,10058.6,Received,2025-12-30,2025-12-31,Supplier SKU: ALP-3081,system,2025-12-13 11:05:25
9,4,PO-2025-0004,3051,Insulated Ski Jacket - Men's,Ski,1,1.0,180.85,180.85,Received,2025-12-30,2025-12-31,Supplier SKU: ALP-3051,system,2025-12-13 11:05:25
10,4,PO-2025-0004,3022,Backcountry Explorer XC Skis - 190cm,Ski,39,39.0,374.18,14593.02,Received,2025-12-30,2025-12-31,Supplier SKU: ALP-3022,system,2025-12-13 11:05:25
11,4,PO-2025-0004,3092,All-Mountain Snowboard - 158cm,Ski,5,5.0,574.0,2870.0,Received,2025-12-30,2025-12-31,Supplier SKU: ALP-3092,system,2025-12-13 11:05:25
12,5,PO-2025-0005,3082,Edge Tuning Tool Set,Ski,45,45.0,97.65,4394.25,Received,2026-01-05,2026-01-06,Supplier SKU: FAB-3082,system,2025-12-19 11:05:25
13,5,PO-2025-0005,3032,Comfort Fit Recreational Boots,Ski,4,4.0,307.93,1231.72,Received,2026-01-05,2026-01-06,Supplier SKU: FAB-3032,system,2025-12-19 11:05:25
14,5,PO-2025-0005,3101,Winter Boots - Insulated,Ski,11,11.0,134.49,1479.39,Received,2026-01-05,2026-01-06,Supplier SKU: FAB-3101,system,2025-12-19 11:05:25
15,5,PO-2025-0005,3011,Alpine Pro Racing Skis - 170cm,Ski,34,34.0,882.03,29989.02,Received,2026-01-05,2026-01-06,Supplier SKU: FAB-3011,system,2025-12-19 11:05:25
16,6,PO-2026-0006,1542,TrailWalker Hiking Shoes,Camping,46,,85.75,3944.5,Shipped,2026-03-19,,Supplier SKU: WOR-1542,system,2026-02-24 11:05:25
17,6,PO-2026-0006,1531,Summit Breeze Jacket,Camping,3,,116.87,350.61,Shipped,2026-03-19,,Supplier SKU: WOR-1531,system,2026-02-24 11:05:25
18,6,PO-2026-0006,3103,Snowboard Bindings - Pro,Ski,14,,247.9,3470.6,Shipped,2026-03-19,,Supplier SKU: WOR-3103,system,2026-02-24 11:05:25
19,6,PO-2026-0006,3051,Insulated Ski Jacket - Men's,Ski,5,,206.42,1032.1,Shipped,2026-03-19,,Supplier SKU: WOR-3051,system,2026-02-24 11:05:25
20,7,PO-2026-0007,3103,Snowboard Bindings - Pro,Ski,10,,247.9,2479.0,Shipped,2026-04-03,,Supplier SKU: WOR-3103,system,2026-03-10 11:05:25
21,8,PO-2026-0008,2061,Mixing Bowl,Kitchen,39,38.0,25.19,982.41,Backordered,2026-02-16,2026-02-16,Supplier SKU: PRO-2061,system,2026-02-04 11:05:25
22,9,PO-2026-0009,1531,Summit Breeze Jacket,Camping,4,2.0,116.87,467.48,Backordered,2026-02-13,2026-02-14,Supplier SKU: WOR-1531,system,2026-01-23 11:05:25
23,9,PO-2026-0009,3103,Snowboard Bindings - Pro,Ski,13,13.0,247.9,3222.7,Received,2026-02-13,2026-02-14,Supplier SKU: WOR-3103,system,2026-01-23 11:05:25
24,9,PO-2026-0009,1542,TrailWalker Hiking Shoes,Camping,37,37.0,85.75,3172.75,Received,2026-02-13,2026-02-14,Supplier SKU: WOR-1542,system,2026-01-23 11:05:25
25,9,PO-2026-0009,3071,Ski Boot Bag - Premium,Ski,32,32.0,43.61,1395.52,Received,2026-02-13,2026-02-14,Supplier SKU: WOR-3071,system,2026-01-23 11:05:25
26,9,PO-2026-0009,3033,Women's Performance Ski Boots,Ski,4,4.0,400.22,1600.88,Received,2026-02-13,2026-02-14,Supplier SKU: WOR-3033,system,2026-01-23 11:05:25
27,10,PO-2026-0010,1533,RainGuard Hiking Jacket,Camping,16,,125.62,2009.92,Shipped,2026-03-17,,Supplier SKU: CON-1533,system,2026-03-02 11:05:25
28,10,PO-2026-0010,1571,CozyNights Sleeping Bag,Camping,22,,116.63,2565.86,Shipped,2026-03-17,,Supplier SKU: CON-1571,system,2026-03-02 11:05:25
29,10,PO-2026-0010,1512,SkyView 2-Person Tent,Camping,16,,246.74,3947.84,Shipped,2026-03-17,,Supplier SKU: CON-1512,system,2026-03-02 11:05:25
30,10,PO-2026-0010,1541,TrekReady Hiking Boots,Camping,49,,109.82,5381.18,Shipped,2026-03-17,,Supplier SKU: CON-1541,system,2026-03-02 11:05:25
31,10,PO-2026-0010,1552,TrekMaster Camping Chair,Camping,18,,46.06,829.08,Shipped,2026-03-17,,Supplier SKU: CON-1552,system,2026-03-02 11:05:25
32,11,PO-2026-0011,1511,Alpine Explorer Tent,Camping,3,3.0,323.07,969.21,Received,2026-03-11,2026-03-14,Supplier SKU: CON-1511,system,2026-03-02 11:05:25
33,12,PO-2026-0012,3082,Edge Tuning Tool Set,Ski,46,,97.65,4491.9,Shipped,2026-01-23,,Supplier SKU: FAB-3082,system,2026-01-05 11:05:25
34,12,PO-2026-0012,3032,Comfort Fit Recreational Boots,Ski,3,,307.93,923.79,Shipped,2026-01-23,,Supplier SKU: FAB-3032,system,2026-01-05 11:05:25
35,12,PO-2026-0012,3101,Winter Boots - Insulated,Ski,35,,134.49,4707.15,Shipped,2026-01-23,,Supplier SKU: FAB-3101,system,2026-01-05 11:05:25
36,12,PO-2026-0012,3011,Alpine Pro Racing Skis - 170cm,Ski,21,,882.03,18522.63,Shipped,2026-01-23,,Supplier SKU: FAB-3011,system,2026-01-05 11:05:25
37,13,PO-2026-0013,3041,Carbon Fiber Racing Poles - 120cm,Ski,14,14.0,141.48,1980.72,Received,2026-01-17,2026-01-17,Supplier SKU: ALP-3041,system,2026-01-06 11:05:25
38,13,PO-2026-0013,3033,Women's Performance Ski Boots,Ski,24,19.0,439.61,10550.64,Backordered,2026-01-17,2026-01-17,Supplier SKU: ALP-3033,system,2026-01-06 11:05:25
39,13,PO-2026-0013,3072,Hand Warmers - 10 Pack,Ski,114,114.0,11.21,1277.94,Received,2026-01-17,2026-01-17,Supplier SKU: ALP-3072,system,2026-01-06 11:05:25
40,13,PO-2026-0013,3051,Insulated Ski Jacket - Men's,Ski,5,3.0,180.85,904.25,Backordered,2026-01-17,2026-01-17,Supplier SKU: ALP-3051,system,2026-01-06 11:05:25
41,14,PO-2025-0014,3103,Snowboard Bindings - Pro,Ski,18,,247.9,4462.2,Shipped,2026-01-11,,Supplier SKU: WOR-3103,system,2025-12-19 11:05:25
42,14,PO-2025-0014,3033,Women's Performance Ski Boots,Ski,5,,400.22,2001.1,Shipped,2026-01-11,,Supplier SKU: WOR-3033,system,2025-12-19 11:05:25
43,15,PO-2026-0015,3081,All-Temp Ski Wax Kit,Ski,139,124.0,52.94,7358.66,Backordered,2026-02-01,2026-02-02,Supplier SKU: ALP-3081,system,2026-01-18 11:05:25
44,15,PO-2026-0015,3032,Comfort Fit Recreational Boots,Ski,115,115.0,308.45,35471.75,Received,2026-02-01,2026-02-02,Supplier SKU: ALP-3032,system,2026-01-18 11:05:25
45,15,PO-2026-0015,3041,Carbon Fiber Racing Poles - 120cm,Ski,16,16.0,141.48,2263.68,Received,2026-02-01,2026-02-02,Supplier SKU: ALP-3041,system,2026-01-18 11:05:25
46,15,PO-2026-0015,3101,Winter Boots - Insulated,Ski,4,4.0,97.6,390.4,Received,2026-02-01,2026-02-02,Supplier SKU: ALP-3101,system,2026-01-18 11:05:25
47,15,PO-2026-0015,3011,Alpine Pro Racing Skis - 170cm,Ski,172,172.0,812.76,139794.72,Received,2026-02-01,2026-02-02,Supplier SKU: ALP-3011,system,2026-01-18 11:05:25
48,16,PO-2026-0016,3011,Alpine Pro Racing Skis - 170cm,Ski,32,,882.03,28224.96,Pending,2026-03-20,,Supplier SKU: FAB-3011,system,2026-03-05 11:05:25
49,16,PO-2026-0016,3032,Comfort Fit Recreational Boots,Ski,2,,307.93,615.86,Pending,2026-03-20,,Supplier SKU: FAB-3032,system,2026-03-05 11:05:25
50,16,PO-2026-0016,3082,Edge Tuning Tool Set,Ski,37,,97.65,3613.05,Pending,2026-03-20,,Supplier SKU: FAB-3082,system,2026-03-05 11:05:25
51,16,PO-2026-0016,3101,Winter Boots - Insulated,Ski,49,,134.49,6590.01,Pending,2026-03-20,,Supplier SKU: FAB-3101,system,2026-03-05 11:05:25
52,17,PO-2025-0017,3011,Alpine Pro Racing Skis - 170cm,Ski,47,47.0,882.03,41455.41,Received,2026-01-04,2026-01-07,Supplier SKU: FAB-3011,system,2025-12-21 11:05:25
53,18,PO-2025-0018,1521,Adventurer Pro Backpack,Camping,8,8.0,146.64,1173.12,Received,2025-12-24,2025-12-30,Supplier SKU: CON-1521,system,2025-12-12 11:05:25
54,18,PO-2025-0018,1533,RainGuard Hiking Jacket,Camping,21,21.0,125.62,2638.02,Received,2025-12-24,2025-12-30,Supplier SKU: CON-1533,system,2025-12-12 11:05:25
55,18,PO-2025-0018,1523,TrailLite Daypack,Camping,196,196.0,50.25,9849.0,Received,2025-12-24,2025-12-30,Supplier SKU: CON-1523,system,2025-12-12 11:05:25
56,19,PO-2026-0019,1571,CozyNights Sleeping Bag,Camping,22,,116.63,2565.86,Shipped,2026-02-21,,Supplier SKU: CON-1571,system,2026-02-09 11:05:25
57,19,PO-2026-0019,1553,Adventure Dining Table,Camping,29,,97.37,2823.73,Shipped,2026-02-21,,Supplier SKU: CON-1553,system,2026-02-09 11:05:25
58,19,PO-2026-0019,1552,TrekMaster Camping Chair,Camping,17,,46.06,783.02,Shipped,2026-02-21,,Supplier SKU: CON-1552,system,2026-02-09 11:05:25
59,20,PO-2026-0020,2121,Bamboo Cutting Board Set,Kitchen,66,66.0,27.7,1828.2,Received,2026-02-08,2026-02-08,Supplier SKU: PRO-2121,system,2026-01-29 11:05:25
60,20,PO-2026-0020,2011,Coffee Maker,Kitchen,5,5.0,144.26,721.3,Received,2026-02-08,2026-02-08,Supplier SKU: PRO-2011,system,2026-01-29 11:05:25
61,21,PO-2025-0021,1533,RainGuard Hiking Jacket,Camping,7,6.0,125.62,879.34,Backordered,2026-01-12,2026-01-14,Supplier SKU: CON-1533,system,2025-12-31 11:05:25
62,21,PO-2025-0021,1511,Alpine Explorer Tent,Camping,4,4.0,323.07,1292.28,Received,2026-01-12,2026-01-14,Supplier SKU: CON-1511,system,2025-12-31 11:05:25
63,21,PO-2025-0021,1522,SummitClimber Backpack,Camping,247,189.0,164.57,40648.79,Backordered,2026-01-12,2026-01-14,Supplier SKU: CON-1522,system,2025-12-31 11:05:25
64,21,PO-2025-0021,1581,LED Headlamp - Rechargeable,Camping,14,14.0,52.95,741.3,Received,2026-01-12,2026-01-14,Supplier SKU: CON-1581,system,2025-12-31 11:05:25
65,22,PO-2026-0022,1572,MountainDream Sleeping Bag,Camping,47,47.0,198.11,9311.17,Received,2026-01-31,2026-02-07,Supplier SKU: CON-1572,system,2026-01-21 11:05:25
66,22,PO-2026-0022,1563,CompactCook Camping Stove,Camping,62,62.0,71.74,4447.88,Received,2026-01-31,2026-02-07,Supplier SKU: CON-1563,system,2026-01-21 11:05:25
67,22,PO-2026-0022,1523,TrailLite Daypack,Camping,161,161.0,50.25,8090.25,Received,2026-01-31,2026-02-07,Supplier SKU: CON-1523,system,2026-01-21 11:05:25
68,23,PO-2025-0023,3082,Edge Tuning Tool Set,Ski,41,40.0,97.65,4003.65,Backordered,2025-12-28,2025-12-31,Supplier SKU: FAB-3082,system,2025-12-15 11:05:25
69,23,PO-2025-0023,3032,Comfort Fit Recreational Boots,Ski,2,2.0,307.93,615.86,Received,2025-12-28,2025-12-31,Supplier SKU: FAB-3032,system,2025-12-15 11:05:25
70,24,PO-2026-0024,3031,Pro Flex Racing Ski Boots,Ski,25,,499.83,12495.75,Shipped,2026-03-19,,Supplier SKU: ALP-3031,system,2026-03-06 11:05:25
71,25,PO-2025-0025,3082,Edge Tuning Tool Set,Ski,25,25.0,97.65,2441.25,Received,2026-01-05,2026-01-08,Supplier SKU: FAB-3082,system,2025-12-21 11:05:25
