OrderId,SalesChannelId,OrderNumber,CustomerId,CustomerAccountId,OrderDate,OrderStatus,SubTotal,TaxAmount,OrderTotal,PaymentMethod,IsoCurrencyCode,CreatedBy
7e6a2440-b94b-46a7-b3fc-97fb855677aa,Ski,S300000,CID-001,CA-0926,2026-04-26,Pending,2649.93,231.87,2881.8,PayPal,USD,SampleGen
af2a90d9-dab1-405c-a33c-a6c501a0e21f,Ski,S300001,CID-001,CA-0926,2023-06-01,Cancelled,1659.94,145.24,1805.18,AmEx,USD,SampleGen
884783de-45fe-4d16-bc62-429941291ef5,Ski,S300002,CID-001,CA-0926,2022-10-17,Completed,189.99,16.62,206.61,AmEx,USD,SampleGen
710b8c76-8d24-40c8-b835-f58c9fc403d5,Ski,S300003,CID-001,CA-0926,2023-11-14,Completed,489.98,42.87,532.85,PayPal,USD,SampleGen
3c186924-eba6-46f0-8826-93166d77e896,Ski,S300004,CID-001,CA-0926,2025-09-29,Completed,299.99,26.25,326.24,VISA,USD,SampleGen
ef5cd940-cb30-4a8d-a862-b0c3bab7e75e,Ski,S300005,CID-002,CA-0927,2024-11-12,Cancelled,59.99,5.25,65.24,VISA,USD,SampleGen
d80a7ffa-524a-479b-8f74-736e914d6058,Ski,S300006,CID-003,CA-0928,2024-10-26,Completed,1949.97,170.62,2120.59,VISA,USD,SampleGen
e4b6bf2e-3cff-43b1-afdc-f62292cc7999,Ski,S300007,CID-003,CA-0928,2021-08-26,Completed,1599.98,140.0,1739.98,MC,USD,SampleGen
b41375b8-c26f-45a7-b864-ecc7c7ac353e,Ski,S300008,CID-003,CA-0928,2023-01-04,Completed,2379.96,208.25,2588.21,Discover,USD,SampleGen
63541c29-8155-469a-8e55-5814e1ed1ce0,Ski,S300009,CID-003,CA-0928,2022-04-11,Completed,919.97,80.5,1000.47,PayPal,USD,SampleGen
82e6d3aa-9289-4d43-b2ba-20cffec8d6d8,Ski,S300010,CID-003,CA-0928,2023-06-19,Cancelled,1149.94,100.62,1250.56,VISA,USD,SampleGen
aeae36aa-f407-4f5a-8b36-d64d10148980,Ski,S300011,CID-004,CA-0929,2023-09-17,Pending,1539.94,134.74,1674.68,VISA,USD,SampleGen
cea8687c-1d0d-48f6-bde3-c3f807d434ae,Ski,S300012,CID-005,CA-0930,2026-01-16,Pending,249.99,21.87,271.86,Discover,USD,SampleGen
e07636d3-6572-496b-94e9-dfe3f20d34d9,Ski,S300013,CID-005,CA-0930,2021-04-22,Completed,759.96,66.49,826.45,PayPal,USD,SampleGen
5406411e-ff99-4443-a68a-990afbc83362,Ski,S300014,CID-006,CA-0931,2022-05-17,Completed,699.98,61.25,761.23,Discover,USD,SampleGen
2cc0e409-dfe2-49e3-94ff-8cfd3b8dbae6,Ski,S300015,CID-006,CA-0931,2021-03-28,Completed,119.99,10.5,130.49,VISA,USD,SampleGen
61b28da3-9796-4b67-b8fc-cb30adab745d,Ski,S300016,CID-006,CA-0931,2024-06-30,Completed,409.96,35.87,445.83,AmEx,USD,SampleGen
2dc3c8ac-b26b-4cbe-bdc0-b92141b58197,Ski,S300017,CID-006,CA-0931,2024-01-20,Completed,689.96,60.37,750.33,VISA,USD,SampleGen
918399b4-0cf4-4fa6-8f3f-a1c5626f5e0b,Ski,S300018,CID-006,CA-0931,2025-08-16,Shipped,379.97,33.25,413.22,AmEx,USD,SampleGen
96a25567-a7ce-4280-8e8b-8fa91c782e76,Ski,S300019,CID-006,CA-0931,2023-12-11,Completed,1299.99,113.75,1413.74,AmEx,USD,SampleGen
de445d0c-362a-4ff9-8306-9fa285c46f3c,Ski,S300020,CID-006,CA-0931,2021-01-14,Pending,2759.94,241.5,3001.44,VISA,USD,SampleGen
0a37e2c1-11f0-42ca-a64a-53ff1498ac3a,Ski,S300021,CID-007,CA-0932,2024-08-03,Completed,739.97,64.75,804.72,AmEx,USD,SampleGen
f6c6f546-a011-4b64-a72f-8c6e5e9a706c,Ski,S300022,CID-008,CA-0933,2025-07-20,Pending,159.98,14.0,173.98,MC,USD,SampleGen
9a9a0498-621a-4be5-8fbf-0621e22197a0,Ski,S300023,CID-008,CA-0933,2025-02-21,Completed,3999.95,350.0,4349.95,PayPal,USD,SampleGen
1f925788-7d7e-40c1-83f0-5bc0d54aadb8,Ski,S300024,CID-008,CA-0933,2022-06-15,Completed,1849.93,161.87,2011.8,VISA,USD,SampleGen
e59e1324-d27c-4d02-baaf-e96f7a785a1b,Ski,S300025,CID-008,CA-0933,2023-07-14,Shipped,119.99,10.5,130.49,MC,USD,SampleGen
b82e0291-64d2-42ff-b586-073eb14c9274,Ski,S300026,CID-009,CA-0934,2023-02-19,Completed,4309.93,377.12,4687.05,MC,USD,SampleGen
9c405539-e7fc-4f58-bfd4-0f374aa6e982,Ski,S300027,CID-010,CA-0935,2022-08-25,Completed,799.99,70.0,869.99,PayPal,USD,SampleGen
13b52530-e2cc-4e75-a328-e850266e38dd,Ski,S300028,CID-010,CA-0935,2024-01-01,Completed,449.99,39.37,489.36,MC,USD,SampleGen
a7e0c65b-e64f-4402-a747-d37e6759e647,Ski,S300029,CID-010,CA-0935,2021-07-29,Completed,1679.96,147.0,1826.96,VISA,USD,SampleGen
4c47bf62-2c8b-4701-ba73-79b7543010f5,Ski,S300030,CID-010,CA-0935,2025-03-31,Completed,939.95,82.25,1022.2,MC,USD,SampleGen
c25e278b-1984-46b9-842f-48dc71988883,Ski,S300031,CID-010,CA-0935,2025-08-12,Shipped,1199.96,105.0,1304.96,VISA,USD,SampleGen
c0058949-cfaf-4a9e-bf9b-e649d9e45917,Ski,S300032,CID-010,CA-0935,2025-06-30,Completed,429.97,37.62,467.59,VISA,USD,SampleGen
a2d5a169-0cd5-470a-9956-40ab919dc19a,Ski,S300033,CID-010,CA-0935,2026-02-18,Completed,1359.97,118.99,1478.96,PayPal,USD,SampleGen
